variant,condition,food_site_count,food_site_radius,seed,final_recruitment_advantage,tail_recruitment_advantage,final_directional_bias,final_receiver_attention,final_dance_propensity,final_success,final_payoff,final_floor_fraction,tail_floor_fraction,tail_dance_follow_share
pre_visit_dance,c1_r37.5m,1,37.500000,410,0.029412,0.010928,0.206233,0.319423,0.799393,0.000944,0.001000,1.000000,1.000000,0.243362
pre_visit_dance,c1_r37.5m,1,37.500000,412,-0.017544,0.015278,0.405466,0.314794,0.655887,0.000944,0.001000,1.000000,1.000000,0.283465
pre_visit_dance,c1_r37.5m,1,37.500000,411,-0.009434,0.002137,0.254567,0.184587,0.228237,0.001944,0.001000,1.000000,1.000000,0.379142
pre_visit_dance,c1_r37.5m,1,37.500000,413,0.000000,0.012671,0.418283,0.275251,0.450641,0.000556,0.001000,1.000000,1.000000,0.219688
pre_visit_dance,c1_r37.5m,1,37.500000,414,0.000000,0.009202,0.293046,0.468464,0.262618,0.001389,0.001000,1.000000,1.000000,0.332607
pre_visit_dance,c1_r37.5m,1,37.500000,415,0.011364,0.010712,0.567567,0.615492,0.656553,0.001194,0.001000,1.000000,1.000000,0.507363
pre_visit_dance,c1_r37.5m,1,37.500000,416,0.005495,0.029946,0.562438,0.286225,0.622095,0.001722,0.001000,1.000000,1.000000,0.335424
pre_visit_dance,c1_r37.5m,1,37.500000,419,0.000000,0.016998,0.586922,0.320051,0.590513,0.000556,0.001000,1.000000,1.000000,0.271224
pre_visit_dance,c1_r37.5m,1,37.500000,417,0.000000,0.013169,0.294300,0.345249,0.497444,0.000444,0.001000,1.000000,1.000000,0.480688
pre_visit_dance,c1_r37.5m,1,37.500000,420,-0.009868,0.009058,0.203324,0.281262,0.555640,0.000639,0.001000,1.000000,1.000000,0.420608
pre_visit_dance,c1_r37.5m,1,37.500000,418,0.013699,0.018560,0.604819,0.302195,0.471781,0.001194,0.001000,1.000000,1.000000,0.437183
pre_visit_dance,c1_r37.5m,1,37.500000,421,0.026144,0.002609,0.364168,0.335529,0.289970,0.002000,0.001000,1.000000,1.000000,0.378965
pre_visit_dance,c1_r37.5m,1,37.500000,423,0.017647,0.010154,0.555575,0.453113,0.572189,0.002056,0.001000,1.000000,1.000000,0.410566
