candidate,group_kind,group,runs,seeds,stable_fraction,reached_gravity_fraction,retained_vertical_fraction,collapse_fraction,mean_gravity_reach_generation,mean_vertical_reach_generation,mean_partial_tilt_generation,mean_partial_transposition_generation,mean_max_comb_tilt,mean_max_min_transposition,mean_min_success,mean_final_directional_bias,mean_final_attention,mean_final_min_transposition,mean_final_transposition_gap,mean_final_comb_tilt,mean_final_success,mean_final_payoff
trial_393,outcome,gravity_without_vertical,2,"128,148",0.000,1.000,0.000,0.000,46.000,48.500,31.500,31.000,0.925,0.909,0.112,0.819,0.785,0.870,0.006,0.792,0.469,4.194
trial_393,outcome,partial_tilt,2,"116,138",0.000,0.000,0.000,0.000,not_reached,53.000,66.000,65.000,0.764,0.446,0.117,0.783,0.654,0.405,0.024,0.699,0.442,3.546
trial_393,outcome,success,31,"110,111,112,114,115,117,119,120,121,122,123,124,126,127,129,130,131,133,134,135,136,139,140,141,142,143,144,145,146,147,149",1.000,1.000,1.000,0.000,60.645,59.355,33.226,33.290,0.912,0.867,0.117,0.764,0.755,0.813,0.031,0.867,0.468,4.322
trial_393,outcome,vertical_without_gravity,1,113,0.000,0.000,1.000,0.000,not_reached,52.000,35.000,19.000,0.892,0.418,0.125,0.432,0.221,0.205,0.017,0.825,0.414,3.248
trial_274,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.900,0.975,0.900,0.000,49.641,50.421,26.950,21.425,0.901,0.854,0.097,0.770,0.767,0.784,0.034,0.845,0.418,4.860
trial_274,comparison,successful,36,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,128,129,130,131,133,134,135,137,138,139,140,142,143,144,145,146,147,148,149",1.000,1.000,1.000,0.000,48.722,51.056,25.583,21.194,0.914,0.873,0.097,0.775,0.776,0.802,0.031,0.866,0.421,4.951
trial_274,comparison,unsuccessful,4,"126,132,136,141",0.000,0.750,0.000,0.000,60.667,39.000,39.250,23.500,0.784,0.680,0.096,0.724,0.685,0.619,0.061,0.656,0.390,4.045
trial_274,outcome,gravity_without_vertical,3,"126,132,141",0.000,1.000,0.000,0.000,60.667,39.000,30.333,25.333,0.863,0.776,0.096,0.715,0.645,0.702,0.073,0.785,0.380,4.165
trial_274,outcome,partial_transposition,1,136,0.000,0.000,0.000,0.000,not_reached,not_reached,66.000,18.000,0.545,0.394,0.095,0.751,0.804,0.368,0.026,0.271,0.422,3.683
trial_274,outcome,success,36,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,128,129,130,131,133,134,135,137,138,139,140,142,143,144,145,146,147,148,149",1.000,1.000,1.000,0.000,48.722,51.056,25.583,21.194,0.914,0.873,0.097,0.775,0.776,0.802,0.031,0.866,0.421,4.951
