variant,condition,food_site_count,food_site_radius,seed,final_recruitment_advantage,tail_recruitment_advantage,final_directional_bias,final_receiver_attention,final_dance_propensity,final_success,final_payoff,final_floor_fraction,tail_floor_fraction,tail_dance_follow_share
tournament,c1_r37.5m,1,37.500000,420,0.000000,0.033333,0.360208,0.336702,0.581393,0.000028,0.001000,1.000000,1.000000,0.225000
tournament,c1_r37.5m,1,37.500000,421,0.000000,0.000000,0.266737,0.282211,0.577138,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r37.5m,1,37.500000,423,0.000000,0.000000,0.197456,0.416726,0.403097,0.000028,0.001000,1.000000,1.000000,0.050000
tournament,c1_r37.5m,1,37.500000,424,0.000000,0.016667,0.759439,0.343533,0.816629,0.000028,0.001000,1.000000,1.000000,0.158747
tournament,c1_r37.5m,1,37.500000,431,0.000000,0.000000,0.790542,0.658370,0.201610,0.000028,0.001000,1.000000,1.000000,0.111667
tournament,c1_r37.5m,1,37.500000,432,-0.166667,-0.026667,0.291018,0.155326,0.761740,0.000056,0.001000,1.000000,1.000000,0.037500
tournament,c1_r37.5m,1,37.500000,433,0.000000,0.000000,0.168775,0.888841,0.709132,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r37.5m,1,37.500000,434,0.000000,0.000000,0.308856,0.666214,0.528482,0.000000,0.001000,1.000000,1.000000,0.050000
tournament,c1_r37.5m,1,37.500000,430,0.000000,0.050000,0.331183,0.555029,0.634576,0.000056,0.001000,1.000000,1.000000,0.040000
tournament,c1_r37.5m,1,37.500000,429,0.000000,0.000000,0.351674,0.231747,0.644607,0.000000,0.001000,1.000000,1.000000,0.025000
tournament,c1_r37.5m,1,37.500000,445,0.000000,0.050000,0.815300,0.192082,0.684673,0.000000,0.001000,1.000000,1.000000,0.020000
tournament,c1_r37.5m,1,37.500000,446,0.500000,0.075000,0.781348,0.359903,0.862577,0.000056,0.001000,1.000000,1.000000,0.044848
tournament,c1_r37.5m,1,37.500000,441,0.000000,0.000000,0.235866,0.230255,0.770565,0.000083,0.001000,1.000000,1.000000,0.000000
tournament,c1_r37.5m,1,37.500000,447,0.000000,0.020000,0.135885,0.444666,0.836009,0.000028,0.001000,1.000000,1.000000,0.220000
tournament,c1_r37.5m,1,37.500000,448,0.000000,0.000000,0.502026,0.692455,0.532404,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r37.5m,1,37.500000,449,0.000000,0.000000,0.267801,0.333619,0.732255,0.000000,0.001000,1.000000,1.000000,0.022222
