number,state,value,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,elapsed_seconds
66,COMPLETE,2.846,4,0.260,5,1.000,0.240,7.000,0.010,0.110,0.500,2,10,0,0.846,0.322,3.575,0.683,0.567,820.774
67,COMPLETE,2.441,6,0.360,11,1.000,0.400,7.500,0.030,0.050,0.300,2,10,0,0.441,0.602,6.153,0.446,0.296,1093.292
68,COMPLETE,1.313,6,0.280,14,1.000,0.120,7.500,0.040,0.090,0.900,1,10,0,0.313,0.490,3.376,0.253,0.267,1128.078
69,COMPLETE,1.435,9,0.200,9,1.000,0.380,5.000,0.055,0.040,0.700,1,10,0,0.435,0.491,3.480,0.439,0.278,972.619
70,COMPLETE,2.597,7,0.310,7,1.000,0.360,7.000,0.035,0.060,0.400,2,10,0,0.597,0.559,5.369,0.583,0.362,1062.794
71,COMPLETE,3.467,3,0.420,16,1.000,0.340,6.500,0.030,0.100,0.000,3,10,0,0.467,0.514,4.791,0.399,0.380,1084.193
72,COMPLETE,1.583,7,0.370,4,1.000,0.120,5.000,0.060,0.070,0.500,1,10,0,0.583,0.578,4.175,0.554,0.446,1044.918
73,COMPLETE,0.213,7,0.190,12,1.000,0.180,5.000,0.060,0.110,0.400,0,10,0,0.213,0.389,1.574,0.171,0.200,1034.058
74,COMPLETE,0.165,3,0.250,13,1.000,0.100,8.500,0.025,0.060,0.000,0,10,0,0.165,0.310,1.788,0.132,0.149,794.442
75,COMPLETE,1.479,10,0.310,4,1.000,0.240,4.500,0.035,0.040,0.600,1,10,0,0.479,0.645,7.025,0.647,0.255,1097.452
76,COMPLETE,3.795,10,0.450,12,1.000,0.380,8.500,0.015,0.090,0.300,3,10,0,0.795,0.722,10.096,0.800,0.503,1287.991
77,COMPLETE,0.183,3,0.220,7,1.000,0.120,6.000,0.020,0.080,0.300,0,10,0,0.183,0.285,2.011,0.147,0.186,770.311
78,COMPLETE,1.374,8,0.390,10,1.000,0.240,8.000,0.055,0.080,0.200,1,10,0,0.374,0.676,5.305,0.306,0.285,1308.798
79,COMPLETE,5.958,10,0.270,9,1.000,0.480,4.500,0.010,0.100,0.900,5,10,0,0.958,0.616,9.422,0.810,0.677,1149.258
80,COMPLETE,9.986,10,0.250,10,1.000,0.600,5.000,0.010,0.100,0.900,9,10,0,0.986,0.591,9.682,0.838,0.667,1160.028
81,COMPLETE,4.931,10,0.380,10,1.000,0.520,5.000,0.010,0.100,0.900,4,10,0,0.931,0.732,11.591,0.795,0.590,1307.120
82,COMPLETE,4.895,10,0.250,10,1.000,0.500,5.000,0.010,0.100,0.900,4,10,0,0.895,0.570,8.688,0.797,0.576,1097.469
83,COMPLETE,6.980,10,0.260,10,1.000,0.520,5.000,0.010,0.100,0.900,6,10,0,0.980,0.587,9.138,0.812,0.670,1143.182
84,COMPLETE,6.969,10,0.280,10,1.000,0.500,5.000,0.010,0.100,0.900,6,10,0,0.969,0.620,9.599,0.817,0.669,1199.963
85,COMPLETE,6.978,10,0.280,10,1.000,0.520,5.000,0.010,0.100,0.900,6,10,0,0.978,0.629,9.800,0.803,0.708,1195.058
86,COMPLETE,8.982,10,0.270,15,1.000,0.460,5.000,0.015,0.100,0.900,8,10,0,0.982,0.614,8.907,0.808,0.698,1176.933
87,COMPLETE,8.989,10,0.270,10,1.000,0.460,5.000,0.010,0.100,0.900,8,10,0,0.989,0.614,9.311,0.835,0.702,1195.313
88,COMPLETE,9.999,10,0.260,15,1.000,0.500,9.000,0.010,0.100,0.900,9,10,0,0.999,0.514,7.712,0.846,0.710,1094.699
89,COMPLETE,8.988,10,0.270,15,1.000,0.460,9.000,0.010,0.100,0.900,8,10,0,0.988,0.529,7.718,0.830,0.687,1141.716
90,COMPLETE,8.988,10,0.270,15,1.000,0.460,9.000,0.010,0.100,0.900,8,10,0,0.988,0.529,7.718,0.830,0.687,1151.980
91,COMPLETE,6.984,10,0.270,10,1.000,0.460,9.000,0.015,0.100,0.900,6,10,0,0.984,0.522,7.175,0.813,0.719,1123.367
92,COMPLETE,8.995,10,0.260,10,1.000,0.500,9.000,0.010,0.100,0.900,8,10,0,0.995,0.517,7.732,0.838,0.747,1072.645
93,COMPLETE,5.959,10,0.260,10,1.000,0.520,9.000,0.015,0.100,0.900,5,10,0,0.959,0.516,7.354,0.836,0.675,1083.177
94,COMPLETE,9.995,10,0.250,15,1.000,0.440,9.000,0.015,0.100,0.900,9,10,0,0.995,0.497,6.712,0.834,0.756,1101.094
95,COMPLETE,8.990,10,0.250,15,1.000,0.520,9.000,0.015,0.100,0.900,8,10,0,0.990,0.501,7.048,0.824,0.722,1087.797
96,COMPLETE,8.991,10,0.250,10,1.000,0.520,9.000,0.015,0.100,0.900,8,10,0,0.991,0.511,7.215,0.820,0.772,1071.876
97,COMPLETE,7.983,10,0.260,15,1.000,0.440,9.000,0.015,0.100,1.000,7,10,0,0.983,0.518,7.006,0.812,0.755,1118.617
98,COMPLETE,5.960,10,0.270,15,1.000,0.440,9.000,0.015,0.120,1.000,5,10,0,0.960,0.520,7.001,0.790,0.713,1152.536
99,COMPLETE,5.957,10,0.260,11,1.000,0.600,5.000,0.015,0.120,1.000,5,10,0,0.957,0.593,9.273,0.810,0.666,1190.719
