number,state,value,seed,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable,collapsed,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition
5,COMPLETE,0.186,109,3,0.420,16,1.000,0.320,8.500,0.040,0.120,0.300,false,false,0.250,0.464,2.951,0.200,0.273,0.225,0.225
6,COMPLETE,0.169,100,4,0.290,16,1.000,0.140,6.500,0.060,0.060,1.000,false,false,0.130,0.483,2.060,0.104,0.160,0.160,0.160
6,COMPLETE,0.169,101,4,0.290,16,1.000,0.140,6.500,0.060,0.060,1.000,false,false,0.150,0.474,1.977,0.120,0.155,0.155,0.155
6,COMPLETE,0.169,102,4,0.290,16,1.000,0.140,6.500,0.060,0.060,1.000,false,false,0.138,0.469,1.921,0.110,0.288,0.288,0.288
6,COMPLETE,0.169,103,4,0.290,16,1.000,0.140,6.500,0.060,0.060,1.000,false,false,0.172,0.467,1.817,0.138,0.202,0.202,0.202
6,COMPLETE,0.169,104,4,0.290,16,1.000,0.140,6.500,0.060,0.060,1.000,false,false,0.239,0.473,1.855,0.192,0.191,0.191,0.191
6,COMPLETE,0.169,105,4,0.290,16,1.000,0.140,6.500,0.060,0.060,1.000,false,false,0.133,0.458,1.909,0.106,0.199,0.199,0.199
6,COMPLETE,0.169,106,4,0.290,16,1.000,0.140,6.500,0.060,0.060,1.000,false,false,0.170,0.466,1.901,0.136,0.275,0.275,0.275
6,COMPLETE,0.169,107,4,0.290,16,1.000,0.140,6.500,0.060,0.060,1.000,false,false,0.219,0.431,1.675,0.175,0.150,0.150,0.150
6,COMPLETE,0.169,108,4,0.290,16,1.000,0.140,6.500,0.060,0.060,1.000,false,false,0.184,0.440,1.619,0.147,0.332,0.332,0.332
6,COMPLETE,0.169,109,4,0.290,16,1.000,0.140,6.500,0.060,0.060,1.000,false,false,0.159,0.487,2.044,0.127,0.169,0.169,0.169
7,COMPLETE,1.934,100,6,0.360,6,1.000,0.400,8.000,0.020,0.130,1.000,false,false,0.934,0.508,6.148,0.747,0.652,0.652,0.652
7,COMPLETE,1.934,101,6,0.360,6,1.000,0.400,8.000,0.020,0.130,1.000,false,false,0.938,0.527,6.421,0.750,0.724,0.724,0.724
7,COMPLETE,1.934,102,6,0.360,6,1.000,0.400,8.000,0.020,0.130,1.000,false,false,0.989,0.488,5.894,0.791,0.704,0.704,0.704
7,COMPLETE,1.934,103,6,0.360,6,1.000,0.400,8.000,0.020,0.130,1.000,false,false,0.886,0.499,5.904,0.709,0.704,0.704,0.704
7,COMPLETE,1.934,104,6,0.360,6,1.000,0.400,8.000,0.020,0.130,1.000,false,false,0.914,0.514,6.227,0.731,0.781,0.781,0.781
7,COMPLETE,1.934,105,6,0.360,6,1.000,0.400,8.000,0.020,0.130,1.000,false,false,0.816,0.474,5.496,0.653,0.687,0.687,0.687
7,COMPLETE,1.934,106,6,0.360,6,1.000,0.400,8.000,0.020,0.130,1.000,false,false,0.957,0.476,5.778,0.766,0.593,0.593,0.593
7,COMPLETE,1.934,107,6,0.360,6,1.000,0.400,8.000,0.020,0.130,1.000,true,false,1.000,0.488,5.968,0.823,0.718,0.718,0.718
7,COMPLETE,1.934,108,6,0.360,6,1.000,0.400,8.000,0.020,0.130,1.000,false,false,0.935,0.541,6.574,0.748,0.733,0.733,0.733
7,COMPLETE,1.934,109,6,0.360,6,1.000,0.400,8.000,0.020,0.130,1.000,false,false,0.975,0.518,6.288,0.780,0.710,0.710,0.710
8,COMPLETE,0.260,100,10,0.220,14,1.000,0.120,4.500,0.045,0.060,0.600,false,false,0.166,0.575,4.651,0.133,0.275,0.395,0.275
8,COMPLETE,0.260,101,10,0.220,14,1.000,0.120,4.500,0.045,0.060,0.600,false,false,0.311,0.583,4.867,0.262,0.178,0.156,0.156
8,COMPLETE,0.260,102,10,0.220,14,1.000,0.120,4.500,0.045,0.060,0.600,false,false,0.373,0.565,4.603,0.298,0.237,0.366,0.237
8,COMPLETE,0.260,103,10,0.220,14,1.000,0.120,4.500,0.045,0.060,0.600,false,false,0.232,0.591,4.901,0.186,0.259,0.162,0.162
8,COMPLETE,0.260,104,10,0.220,14,1.000,0.120,4.500,0.045,0.060,0.600,false,false,0.252,0.566,4.586,0.262,0.126,0.192,0.126
8,COMPLETE,0.260,105,10,0.220,14,1.000,0.120,4.500,0.045,0.060,0.600,false,false,0.275,0.545,4.361,0.220,0.321,0.569,0.321
8,COMPLETE,0.260,106,10,0.220,14,1.000,0.120,4.500,0.045,0.060,0.600,false,false,0.353,0.558,4.625,0.282,0.360,0.288,0.288
8,COMPLETE,0.260,107,10,0.220,14,1.000,0.120,4.500,0.045,0.060,0.600,false,false,0.175,0.561,4.523,0.140,0.284,0.453,0.284
8,COMPLETE,0.260,108,10,0.220,14,1.000,0.120,4.500,0.045,0.060,0.600,false,false,0.244,0.567,4.701,0.317,0.122,0.138,0.122
8,COMPLETE,0.260,109,10,0.220,14,1.000,0.120,4.500,0.045,0.060,0.600,false,false,0.223,0.558,4.707,0.178,0.223,0.218,0.218
9,COMPLETE,5.939,100,10,0.240,10,1.000,0.460,6.500,0.025,0.100,0.400,true,false,1.000,0.548,6.866,0.802,0.805,0.797,0.797
9,COMPLETE,5.939,101,10,0.240,10,1.000,0.460,6.500,0.025,0.100,0.400,false,false,0.617,0.501,6.215,0.848,0.308,0.675,0.308
9,COMPLETE,5.939,102,10,0.240,10,1.000,0.460,6.500,0.025,0.100,0.400,false,false,0.915,0.560,7.156,0.841,0.665,0.458,0.458
9,COMPLETE,5.939,103,10,0.240,10,1.000,0.460,6.500,0.025,0.100,0.400,true,false,1.000,0.525,6.675,0.843,0.678,0.752,0.678
9,COMPLETE,5.939,104,10,0.240,10,1.000,0.460,6.500,0.025,0.100,0.400,false,false,0.990,0.583,7.406,0.792,0.782,0.755,0.755
9,COMPLETE,5.939,105,10,0.240,10,1.000,0.460,6.500,0.025,0.100,0.400,true,false,1.000,0.540,6.801,0.850,0.677,0.694,0.677
9,COMPLETE,5.939,106,10,0.240,10,1.000,0.460,6.500,0.025,0.100,0.400,false,false,0.906,0.556,6.864,0.725,0.783,0.732,0.732
9,COMPLETE,5.939,107,10,0.240,10,1.000,0.460,6.500,0.025,0.100,0.400,false,false,0.958,0.571,7.140,0.767,0.787,0.694,0.694
9,COMPLETE,5.939,108,10,0.240,10,1.000,0.460,6.500,0.025,0.100,0.400,true,false,1.000,0.594,7.710,0.869,0.805,0.767,0.767
9,COMPLETE,5.939,109,10,0.240,10,1.000,0.460,6.500,0.025,0.100,0.400,true,false,1.000,0.538,6.780,0.835,0.668,0.581,0.581
10,COMPLETE,6.937,100,5,0.360,16,1.000,0.460,9.000,0.020,0.130,0.700,false,false,0.488,0.465,4.891,0.391,0.405,0.468,0.405
10,COMPLETE,6.937,101,5,0.360,16,1.000,0.460,9.000,0.020,0.130,0.700,false,false,0.999,0.457,5.658,0.799,0.800,0.811,0.800
10,COMPLETE,6.937,102,5,0.360,16,1.000,0.460,9.000,0.020,0.130,0.700,false,false,0.930,0.450,5.304,0.744,0.744,0.606,0.606
10,COMPLETE,6.937,103,5,0.360,16,1.000,0.460,9.000,0.020,0.130,0.700,true,false,1.000,0.472,5.935,0.816,0.841,0.767,0.767
10,COMPLETE,6.937,104,5,0.360,16,1.000,0.460,9.000,0.020,0.130,0.700,true,false,1.000,0.486,6.163,0.843,0.827,0.814,0.814
10,COMPLETE,6.937,105,5,0.360,16,1.000,0.460,9.000,0.020,0.130,0.700,true,false,1.000,0.449,5.590,0.827,0.745,0.752,0.745
10,COMPLETE,6.937,106,5,0.360,16,1.000,0.460,9.000,0.020,0.130,0.700,false,false,0.955,0.468,5.653,0.764,0.632,0.640,0.632
10,COMPLETE,6.937,107,5,0.360,16,1.000,0.460,9.000,0.020,0.130,0.700,true,false,1.000,0.450,5.527,0.841,0.849,0.753,0.753
10,COMPLETE,6.937,108,5,0.360,16,1.000,0.460,9.000,0.020,0.130,0.700,true,false,1.000,0.466,5.766,0.836,0.789,0.681,0.681
10,COMPLETE,6.937,109,5,0.360,16,1.000,0.460,9.000,0.020,0.130,0.700,true,false,1.000,0.417,5.041,0.856,0.738,0.704,0.704
11,COMPLETE,0.176,100,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.184,0.291,1.644,0.147,0.346,0.210,0.210
11,COMPLETE,0.176,101,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.097,0.295,1.674,0.077,0.173,0.273,0.173
11,COMPLETE,0.176,102,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.171,0.305,1.750,0.137,0.119,0.170,0.119
11,COMPLETE,0.176,103,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.186,0.293,1.692,0.148,0.157,0.258,0.157
11,COMPLETE,0.176,104,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.152,0.292,1.686,0.122,0.131,0.128,0.128
11,COMPLETE,0.176,105,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.187,0.281,1.615,0.149,0.216,0.292,0.216
11,COMPLETE,0.176,106,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.214,0.290,1.639,0.171,0.157,0.149,0.149
11,COMPLETE,0.176,107,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.177,0.295,1.719,0.142,0.182,0.132,0.132
11,COMPLETE,0.176,108,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.191,0.284,1.547,0.153,0.325,0.289,0.289
11,COMPLETE,0.176,109,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.204,0.274,1.482,0.163,0.199,0.220,0.199
12,COMPLETE,4.958,100,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,false,false,0.918,0.723,7.988,0.735,0.605,0.605,0.605
12,COMPLETE,4.958,101,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,false,false,0.865,0.710,7.708,0.692,0.596,0.596,0.596
12,COMPLETE,4.958,102,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,false,false,0.982,0.717,8.142,0.786,0.746,0.746,0.746
12,COMPLETE,4.958,103,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,true,false,1.000,0.737,8.495,0.861,0.862,0.862,0.862
12,COMPLETE,4.958,104,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,false,false,0.948,0.724,8.051,0.815,0.474,0.474,0.474
12,COMPLETE,4.958,105,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,true,false,1.000,0.727,8.144,0.802,0.516,0.516,0.516
12,COMPLETE,4.958,106,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,true,false,1.000,0.767,8.684,0.806,0.770,0.770,0.770
12,COMPLETE,4.958,107,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,true,false,1.000,0.678,7.550,0.803,0.579,0.579,0.579
12,COMPLETE,4.958,108,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,false,false,0.928,0.722,7.979,0.742,0.593,0.593,0.593
12,COMPLETE,4.958,109,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,false,false,0.936,0.736,8.180,0.749,0.855,0.855,0.855
13,COMPLETE,2.439,100,7,0.320,13,1.000,0.360,6.500,0.035,0.050,0.500,false,false,0.245,0.644,6.041,0.260,0.135,0.122,0.122
13,COMPLETE,2.439,101,7,0.320,13,1.000,0.360,6.500,0.035,0.050,0.500,false,false,0.255,0.640,5.987,0.233,0.155,0.128,0.128
13,COMPLETE,2.439,102,7,0.320,13,1.000,0.360,6.500,0.035,0.050,0.500,false,false,0.253,0.611,5.874,0.380,0.204,0.127,0.127
13,COMPLETE,2.439,103,7,0.320,13,1.000,0.360,6.500,0.035,0.050,0.500,false,false,0.165,0.648,5.885,0.132,0.163,0.314,0.163
13,COMPLETE,2.439,104,7,0.320,13,1.000,0.360,6.500,0.035,0.050,0.500,false,false,0.189,0.644,6.056,0.194,0.154,0.094,0.094
13,COMPLETE,2.439,105,7,0.320,13,1.000,0.360,6.500,0.035,0.050,0.500,true,false,1.000,0.624,6.966,0.885,0.828,0.556,0.556
13,COMPLETE,2.439,106,7,0.320,13,1.000,0.360,6.500,0.035,0.050,0.500,false,false,0.165,0.622,5.735,0.132,0.145,0.244,0.145
13,COMPLETE,2.439,107,7,0.320,13,1.000,0.360,6.500,0.035,0.050,0.500,true,false,1.000,0.638,7.393,0.910,0.870,0.614,0.614
13,COMPLETE,2.439,108,7,0.320,13,1.000,0.360,6.500,0.035,0.050,0.500,false,false,0.193,0.648,6.108,0.211,0.096,0.173,0.096
13,COMPLETE,2.439,109,7,0.320,13,1.000,0.360,6.500,0.035,0.050,0.500,false,false,0.926,0.501,5.065,0.837,0.482,0.463,0.463
14,COMPLETE,6.954,100,10,0.420,7,1.000,0.460,7.000,0.020,0.080,0.900,true,false,1.000,0.752,11.095,0.881,0.693,0.573,0.573
14,COMPLETE,6.954,101,10,0.420,7,1.000,0.460,7.000,0.020,0.080,0.900,true,false,1.000,0.776,11.496,0.899,0.746,0.593,0.593
14,COMPLETE,6.954,102,10,0.420,7,1.000,0.460,7.000,0.020,0.080,0.900,true,false,1.000,0.755,11.080,0.849,0.835,0.806,0.806
14,COMPLETE,6.954,103,10,0.420,7,1.000,0.460,7.000,0.020,0.080,0.900,false,false,0.987,0.789,11.287,0.789,0.773,0.731,0.731
14,COMPLETE,6.954,104,10,0.420,7,1.000,0.460,7.000,0.020,0.080,0.900,false,false,0.583,0.742,10.793,0.836,0.292,0.325,0.292
14,COMPLETE,6.954,105,10,0.420,7,1.000,0.460,7.000,0.020,0.080,0.900,false,false,0.971,0.736,10.469,0.777,0.667,0.662,0.662
14,COMPLETE,6.954,106,10,0.420,7,1.000,0.460,7.000,0.020,0.080,0.900,true,false,1.000,0.744,10.849,0.836,0.778,0.779,0.778
14,COMPLETE,6.954,107,10,0.420,7,1.000,0.460,7.000,0.020,0.080,0.900,true,false,1.000,0.738,10.670,0.815,0.853,0.826,0.826
14,COMPLETE,6.954,108,10,0.420,7,1.000,0.460,7.000,0.020,0.080,0.900,true,false,1.000,0.760,11.164,0.861,0.829,0.841,0.829
14,COMPLETE,6.954,109,10,0.420,7,1.000,0.460,7.000,0.020,0.080,0.900,false,false,0.995,0.769,11.085,0.796,0.800,0.801,0.800
15,COMPLETE,3.914,100,9,0.430,14,1.000,0.540,7.000,0.015,0.130,0.200,false,false,0.946,0.673,10.185,0.757,0.774,0.706,0.706
15,COMPLETE,3.914,101,9,0.430,14,1.000,0.540,7.000,0.015,0.130,0.200,false,false,0.688,0.673,10.503,0.847,0.635,0.344,0.344
15,COMPLETE,3.914,102,9,0.430,14,1.000,0.540,7.000,0.015,0.130,0.200,true,false,1.000,0.695,10.711,0.808,0.744,0.883,0.744
15,COMPLETE,3.914,103,9,0.430,14,1.000,0.540,7.000,0.015,0.130,0.200,true,false,1.000,0.679,10.609,0.842,0.719,0.688,0.688
15,COMPLETE,3.914,104,9,0.430,14,1.000,0.540,7.000,0.015,0.130,0.200,true,false,1.000,0.712,11.040,0.808,0.683,0.672,0.672
15,COMPLETE,3.914,105,9,0.430,14,1.000,0.540,7.000,0.015,0.130,0.200,false,false,0.910,0.743,11.247,0.728,0.825,0.792,0.792
15,COMPLETE,3.914,106,9,0.430,14,1.000,0.540,7.000,0.015,0.130,0.200,false,false,0.995,0.703,10.838,0.796,0.746,0.651,0.651
15,COMPLETE,3.914,107,9,0.430,14,1.000,0.540,7.000,0.015,0.130,0.200,false,false,0.714,0.687,10.457,0.772,0.357,0.573,0.357
15,COMPLETE,3.914,108,9,0.430,14,1.000,0.540,7.000,0.015,0.130,0.200,false,false,0.971,0.708,10.800,0.777,0.696,0.744,0.696
15,COMPLETE,3.914,109,9,0.430,14,1.000,0.540,7.000,0.015,0.130,0.200,false,false,0.918,0.697,10.456,0.735,0.738,0.661,0.661
16,COMPLETE,2.760,100,9,0.320,5,1.000,0.120,5.500,0.020,0.080,0.500,false,false,0.513,0.638,6.898,0.561,0.298,0.257,0.257
16,COMPLETE,2.760,101,9,0.320,5,1.000,0.120,5.500,0.020,0.080,0.500,true,false,1.000,0.639,7.130,0.824,0.818,0.736,0.736
16,COMPLETE,2.760,102,9,0.320,5,1.000,0.120,5.500,0.020,0.080,0.500,false,false,0.641,0.615,6.598,0.513,0.536,0.695,0.536
16,COMPLETE,2.760,103,9,0.320,5,1.000,0.120,5.500,0.020,0.080,0.500,false,false,0.467,0.627,6.739,0.494,0.233,0.339,0.233
16,COMPLETE,2.760,104,9,0.320,5,1.000,0.120,5.500,0.020,0.080,0.500,false,false,0.958,0.628,6.946,0.766,0.752,0.623,0.623
16,COMPLETE,2.760,105,9,0.320,5,1.000,0.120,5.500,0.020,0.080,0.500,false,false,0.900,0.619,6.833,0.720,0.683,0.626,0.626
16,COMPLETE,2.760,106,9,0.320,5,1.000,0.120,5.500,0.020,0.080,0.500,false,false,0.641,0.646,6.920,0.512,0.769,0.767,0.767
16,COMPLETE,2.760,107,9,0.320,5,1.000,0.120,5.500,0.020,0.080,0.500,false,false,0.530,0.612,6.562,0.499,0.265,0.491,0.265
16,COMPLETE,2.760,108,9,0.320,5,1.000,0.120,5.500,0.020,0.080,0.500,true,false,1.000,0.625,6.962,0.802,0.795,0.755,0.755
16,COMPLETE,2.760,109,9,0.320,5,1.000,0.120,5.500,0.020,0.080,0.500,false,false,0.949,0.630,7.018,0.759,0.851,0.695,0.695
17,COMPLETE,0.226,100,5,0.240,8,1.000,0.260,8.500,0.040,0.110,0.700,false,false,0.199,0.369,1.603,0.159,0.195,0.275,0.195
17,COMPLETE,0.226,101,5,0.240,8,1.000,0.260,8.500,0.040,0.110,0.700,false,false,0.199,0.358,1.604,0.159,0.233,0.300,0.233
17,COMPLETE,0.226,102,5,0.240,8,1.000,0.260,8.500,0.040,0.110,0.700,false,false,0.208,0.366,1.604,0.166,0.314,0.239,0.239
