point,parameter,parameter_value,is_baseline,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation,seed,comparison_group,outcome,stable_vertical_gravity,reached_gravity,retained_vertical,collapsed,gravity_reach_generation,vertical_reach_generation,partial_tilt_generation,partial_transposition_generation,max_comb_tilt,max_comb_tilt_generation,max_min_transposition,max_min_transposition_generation,min_success,min_success_generation,final_directional_bias,final_attention,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_transposition_gap,final_comb_tilt,final_success,final_payoff,elapsed_seconds
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,176,unsuccessful,gravity_without_vertical,false,true,false,false,42,73,17,10,0.858,76,0.788,119,0.270,0,0.638,0.716,0.771,0.782,0.771,0.012,0.800,0.645,6.279,89.650
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,177,unsuccessful,gravity_without_vertical,false,true,false,false,59,not_reached,12,21,0.773,120,0.758,120,0.266,0,0.644,0.765,0.758,0.758,0.758,0.000,0.773,0.593,5.774,93.168
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,178,unsuccessful,gravity_without_vertical,false,true,false,false,40,51,29,16,0.857,65,0.770,116,0.241,0,0.615,0.687,0.713,0.705,0.705,0.008,0.749,0.610,5.819,87.485
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,179,successful,success,true,true,true,false,35,39,24,8,0.885,45,0.819,79,0.237,0,0.716,0.737,0.792,0.756,0.756,0.036,0.817,0.638,6.191,89.274
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,180,successful,success,true,true,true,false,43,54,40,11,0.860,57,0.792,91,0.270,0,0.688,0.740,0.780,0.657,0.657,0.124,0.814,0.645,6.243,89.060
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,181,unsuccessful,gravity_without_vertical,false,true,false,false,32,not_reached,45,10,0.640,118,0.548,33,0.241,0,0.531,0.741,0.336,0.290,0.290,0.046,0.580,0.596,5.353,90.058
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,182,unsuccessful,gravity_without_vertical,false,true,false,false,49,58,15,12,0.890,112,0.826,118,0.234,0,0.649,0.730,0.818,0.805,0.805,0.013,0.783,0.644,6.242,90.768
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,183,unsuccessful,gravity_without_vertical,false,true,false,false,80,93,24,9,0.819,107,0.822,108,0.254,0,0.587,0.852,0.708,0.780,0.708,0.073,0.731,0.611,5.796,89.019
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,184,successful,success,true,true,true,false,40,83,14,12,0.900,120,0.811,113,0.228,0,0.588,0.673,0.789,0.779,0.779,0.010,0.900,0.639,6.339,87.438
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,185,unsuccessful,gravity_without_vertical,false,true,false,false,26,82,22,8,0.887,89,0.780,35,0.234,0,0.662,0.758,0.714,0.789,0.714,0.075,0.764,0.652,6.315,88.246
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,186,unsuccessful,flat,false,false,false,false,not_reached,not_reached,38,7,0.588,55,0.411,57,0.245,0,0.576,0.692,0.332,0.237,0.237,0.095,0.398,0.606,5.354,87.735
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,187,unsuccessful,gravity_without_vertical,false,true,false,false,95,114,21,9,0.822,114,0.639,118,0.239,0,0.639,0.732,0.550,0.662,0.550,0.112,0.728,0.570,5.330,88.140
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,188,unsuccessful,gravity_without_vertical,false,true,false,false,88,108,17,11,0.815,108,0.728,120,0.233,0,0.647,0.725,0.829,0.728,0.728,0.101,0.707,0.601,5.685,88.060
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,189,unsuccessful,gravity_without_vertical,false,true,false,false,50,76,46,15,0.860,93,0.784,64,0.248,0,0.646,0.715,0.572,0.679,0.572,0.107,0.650,0.622,5.805,87.638
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,190,successful,success,true,true,true,false,61,89,20,15,0.858,113,0.770,117,0.228,0,0.531,0.564,0.731,0.837,0.731,0.106,0.823,0.617,5.935,89.586
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,191,unsuccessful,gravity_without_vertical,false,true,false,false,101,not_reached,42,18,0.732,103,0.678,103,0.257,0,0.714,0.677,0.614,0.513,0.513,0.101,0.513,0.570,5.029,88.909
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,192,unsuccessful,gravity_without_vertical,false,true,false,false,54,69,55,16,0.838,88,0.788,115,0.284,0,0.722,0.600,0.687,0.804,0.687,0.117,0.760,0.609,5.803,88.613
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,193,unsuccessful,gravity_without_vertical,false,true,false,false,35,108,33,9,0.843,108,0.616,38,0.263,0,0.589,0.671,0.542,0.534,0.534,0.008,0.764,0.616,5.718,88.478
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,194,unsuccessful,gravity_without_vertical,false,true,false,false,29,not_reached,17,7,0.789,62,0.587,92,0.236,0,0.687,0.626,0.482,0.367,0.367,0.116,0.616,0.591,5.296,87.087
alpha_0p25_mut_0p135_rho_0,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.000,195,successful,success,true,true,true,false,104,106,34,11,0.849,114,0.749,118,0.259,0,0.746,0.772,0.771,0.682,0.682,0.089,0.804,0.619,6.035,88.209
alpha_0p25_mut_0p135_rho_0p3,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0p3,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.300,96,successful,success,true,true,true,false,49,63,13,9,0.857,116,0.787,68,0.261,0,0.662,0.767,0.672,0.709,0.672,0.037,0.822,0.653,6.456,88.759
alpha_0p25_mut_0p135_rho_0p3,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0p3,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.300,97,unsuccessful,gravity_without_vertical,false,true,false,false,35,53,25,13,0.865,69,0.819,50,0.265,0,0.639,0.695,0.730,0.755,0.730,0.025,0.780,0.600,5.756,89.780
alpha_0p25_mut_0p135_rho_0p3,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0p3,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.300,98,unsuccessful,gravity_without_vertical,false,true,false,false,44,75,12,16,0.854,112,0.794,100,0.247,0,0.751,0.684,0.688,0.643,0.643,0.044,0.751,0.571,5.469,87.577
alpha_0p25_mut_0p135_rho_0p3,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0p3,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.300,99,unsuccessful,gravity_without_vertical,false,true,false,false,65,not_reached,65,6,0.792,81,0.729,92,0.268,0,0.591,0.677,0.526,0.502,0.502,0.024,0.553,0.618,5.509,88.415
alpha_0p25_mut_0p135_rho_0p3,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0p3,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.300,105,unsuccessful,gravity_without_vertical,false,true,false,false,17,30,17,7,0.864,87,0.818,85,0.259,0,0.717,0.725,0.703,0.786,0.703,0.084,0.775,0.646,6.273,89.122
alpha_0p25_mut_0p135_rho_0p3,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0p3,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.300,106,successful,success,true,true,true,false,58,26,11,10,0.902,120,0.786,103,0.274,0,0.832,0.768,0.782,0.818,0.782,0.036,0.902,0.659,6.640,89.864
alpha_0p25_mut_0p135_rho_0p3,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0p3,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.300,107,unsuccessful,gravity_without_vertical,false,true,false,false,28,56,12,14,0.858,108,0.810,112,0.243,0,0.604,0.667,0.718,0.588,0.588,0.129,0.777,0.595,5.732,86.953
alpha_0p25_mut_0p135_rho_0p3,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0p3,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.300,108,unsuccessful,gravity_without_vertical,false,true,false,false,29,96,17,12,0.816,96,0.691,82,0.253,0,0.427,0.624,0.487,0.694,0.487,0.206,0.645,0.563,5.110,87.706
alpha_0p25_mut_0p135_rho_0p3,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0p3,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.300,109,successful,success,true,true,true,false,63,66,28,11,0.879,109,0.807,83,0.236,0,0.635,0.761,0.718,0.567,0.567,0.151,0.801,0.598,5.855,87.989
alpha_0p25_mut_0p135_rho_0p3,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0p3,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.300,110,unsuccessful,gravity_without_vertical,false,true,false,false,22,115,22,9,0.865,118,0.748,117,0.237,0,0.637,0.747,0.729,0.774,0.729,0.045,0.786,0.613,5.812,87.164
alpha_0p25_mut_0p135_rho_0p3,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0p3,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.300,111,unsuccessful,gravity_without_vertical,false,true,false,false,72,not_reached,23,14,0.742,89,0.538,77,0.252,0,0.649,0.484,0.487,0.423,0.423,0.064,0.497,0.599,5.254,85.950
alpha_0p25_mut_0p135_rho_0p3,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0p3,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.300,112,unsuccessful,gravity_without_vertical,false,true,false,false,63,82,56,11,0.848,90,0.791,110,0.247,0,0.675,0.653,0.794,0.752,0.752,0.042,0.649,0.592,5.506,89.133
alpha_0p25_mut_0p135_rho_0p3,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0p3,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.300,113,unsuccessful,gravity_without_vertical,false,true,false,false,31,not_reached,16,20,0.779,34,0.649,63,0.268,0,0.708,0.731,0.241,0.270,0.241,0.030,0.207,0.650,5.640,90.146
alpha_0p25_mut_0p135_rho_0p3,evolutionary_interaction,alpha_0p25_mut_0p135_rho_0p3,false,7,0.370,10,0.900,0.250,5.000,0.035,0.135,0.135,0.300,114,unsuccessful,gravity_without_vertical,false,true,false,false,94,56,27,9,0.816,56,0.631,116,0.266,0,0.672,0.800,0.658,0.590,0.590,0.069,0.576,0.648,6.000,87.682
