seed,comparison_group,outcome,generation,average_directional_bias,average_receiver_attention,average_sender_transposition,average_receiver_transposition,average_min_transposition,average_transposition_gap,average_comb_tilt,average_comb_orientation,comb_orientation_alignment,average_search_limit,average_success,average_payoff
96,unsuccessful,flat,96,0.811,0.813,0.130,0.115,0.115,0.014,0.224,0.494,0.038,6.832,0.611,6.012
96,unsuccessful,flat,97,0.796,0.811,0.133,0.115,0.115,0.018,0.210,1.323,0.086,6.783,0.607,5.932
96,unsuccessful,flat,98,0.827,0.840,0.135,0.129,0.129,0.005,0.198,1.566,0.034,6.540,0.602,5.891
96,unsuccessful,flat,99,0.848,0.817,0.114,0.128,0.114,0.014,0.223,1.637,0.065,6.476,0.596,5.851
96,unsuccessful,flat,100,0.835,0.841,0.123,0.141,0.123,0.018,0.209,2.189,0.147,6.159,0.593,5.850
96,unsuccessful,flat,101,0.792,0.857,0.168,0.111,0.111,0.058,0.237,2.807,0.285,6.322,0.595,5.906
96,unsuccessful,flat,102,0.799,0.837,0.150,0.108,0.108,0.043,0.241,2.720,0.236,6.228,0.594,5.906
96,unsuccessful,flat,103,0.789,0.822,0.152,0.126,0.126,0.026,0.253,2.749,0.090,6.190,0.585,5.817
96,unsuccessful,flat,104,0.764,0.817,0.190,0.132,0.132,0.058,0.304,3.093,0.110,6.340,0.585,5.863
96,unsuccessful,flat,105,0.754,0.844,0.207,0.148,0.148,0.060,0.331,0.708,0.154,6.431,0.574,5.714
96,unsuccessful,flat,106,0.732,0.849,0.237,0.157,0.157,0.079,0.317,0.739,0.281,6.153,0.562,5.576
96,unsuccessful,flat,107,0.724,0.848,0.246,0.183,0.183,0.063,0.292,0.570,0.203,6.209,0.564,5.574
96,unsuccessful,flat,108,0.695,0.846,0.241,0.216,0.216,0.025,0.264,0.373,0.150,5.969,0.562,5.539
96,unsuccessful,flat,109,0.704,0.853,0.263,0.256,0.256,0.007,0.243,3.067,0.221,5.626,0.549,5.424
96,unsuccessful,flat,110,0.680,0.832,0.253,0.236,0.236,0.017,0.282,0.171,0.249,5.870,0.555,5.522
96,unsuccessful,flat,111,0.667,0.819,0.221,0.219,0.219,0.002,0.282,0.205,0.239,5.844,0.548,5.423
96,unsuccessful,flat,112,0.631,0.833,0.210,0.228,0.210,0.018,0.312,3.073,0.264,5.859,0.533,5.267
96,unsuccessful,flat,113,0.650,0.805,0.184,0.192,0.184,0.008,0.319,0.255,0.262,5.944,0.542,5.378
96,unsuccessful,flat,114,0.701,0.798,0.145,0.182,0.145,0.037,0.317,0.023,0.283,6.188,0.550,5.455
96,unsuccessful,flat,115,0.641,0.817,0.158,0.210,0.158,0.052,0.373,3.053,0.237,6.255,0.556,5.603
96,unsuccessful,flat,116,0.629,0.805,0.131,0.203,0.131,0.072,0.368,0.274,0.181,6.603,0.564,5.627
96,unsuccessful,flat,117,0.609,0.792,0.122,0.215,0.122,0.093,0.380,0.208,0.208,6.826,0.572,5.712
96,unsuccessful,flat,118,0.623,0.797,0.111,0.204,0.111,0.093,0.380,0.221,0.121,6.982,0.577,5.761
96,unsuccessful,flat,119,0.593,0.798,0.122,0.210,0.122,0.087,0.363,0.045,0.153,7.153,0.575,5.665
96,unsuccessful,flat,120,0.660,0.806,0.114,0.210,0.114,0.096,0.369,0.055,0.031,6.993,0.577,5.730
