initial_comb_tilt,vertical_comb_benefit,vertical_comb_modifier,seed,outcome,reached_gravity,retained_vertical,collapsed,recovered_from_collapse,gravity_reach_generation,partial_transposition_generation,directional_reach_generation,vertical_reach_generation,vertical_loss_generation,last_below_vertical_generation,vertical_below_generations,recovered_vertical_after_loss,tilt_below_half_generation,tilt_below_quarter_generation,min_success,min_success_generation,final_success,final_payoff,final_comb_tilt,final_min_transposition,final_transposition_gap,tilt_at_gravity_reach,success_at_gravity_reach,gap_at_gravity_reach,max_min_transposition_while_vertical,max_min_transposition_while_vertical_generation,tilt_at_max_min_transposition_while_vertical,success_at_max_min_transposition_while_vertical,gravity_before_vertical_loss
1.000,0.200,linear,109,flat,false,false,false,false,not_reached,not_reached,7,0,8,120,113,false,18,25,0.024,0,0.191,0.702,0.094,0.179,0.167,not_reached,not_reached,not_reached,0.082,5,0.897,0.042,false
1.000,0.200,linear,110,flat,false,false,false,false,not_reached,35,16,0,22,120,99,false,27,31,0.022,6,0.188,0.726,0.106,0.114,0.087,not_reached,not_reached,not_reached,0.219,15,0.921,0.043,false
1.000,0.250,linear,101,success_after_collapse,true,true,true,true,18,16,7,0,7,8,2,true,not_reached,not_reached,0.015,3,0.193,0.881,0.905,0.894,0.012,0.918,0.143,0.010,0.954,34,0.868,0.179,false
1.000,0.250,linear,102,flat,false,false,false,false,not_reached,not_reached,12,0,8,120,112,false,17,22,0.024,1,0.201,0.762,0.094,0.155,0.007,not_reached,not_reached,not_reached,0.074,13,0.847,0.109,false
1.000,0.250,linear,103,flat,false,false,false,false,not_reached,not_reached,15,0,11,120,110,false,18,23,0.028,0,0.193,0.741,0.170,0.137,0.020,not_reached,not_reached,not_reached,0.112,10,0.803,0.084,false
1.000,0.250,linear,104,flat,false,false,false,false,not_reached,not_reached,5,0,9,120,112,false,12,20,0.025,0,0.201,0.787,0.110,0.201,0.010,not_reached,not_reached,not_reached,0.047,5,0.910,0.057,false
1.000,0.250,linear,105,flat,false,false,false,false,not_reached,not_reached,11,0,5,120,116,false,7,12,0.026,0,0.192,0.705,0.150,0.154,0.023,not_reached,not_reached,not_reached,0.120,4,0.910,0.044,false
1.000,0.250,linear,106,flat,false,false,false,false,not_reached,98,8,0,8,120,113,false,12,17,0.026,2,0.202,0.815,0.125,0.161,0.145,not_reached,not_reached,not_reached,0.102,7,0.864,0.075,false
1.000,0.250,linear,107,flat,false,false,false,false,not_reached,18,22,0,21,120,96,false,34,41,0.024,1,0.195,0.736,0.126,0.167,0.060,not_reached,not_reached,not_reached,0.287,20,0.854,0.091,false
1.000,0.250,linear,108,success,true,true,false,false,39,20,13,0,not_reached,not_reached,0,false,not_reached,not_reached,0.026,0,0.198,0.895,0.910,0.886,0.005,0.866,0.151,0.057,0.931,76,0.919,0.192,true
1.000,0.250,linear,109,flat,false,false,false,false,not_reached,18,9,0,23,120,98,false,27,34,0.024,0,0.197,0.760,0.124,0.186,0.041,not_reached,not_reached,not_reached,0.306,18,0.872,0.124,false
1.000,0.250,linear,110,success,true,true,false,false,23,18,17,0,not_reached,not_reached,0,false,not_reached,not_reached,0.022,6,0.189,0.862,0.883,0.914,0.025,0.828,0.112,0.080,0.931,117,0.871,0.187,true
