group_kind,group,generation,runs,mean_directional_bias,mean_receiver_attention,mean_sender_transposition,mean_receiver_transposition,mean_min_transposition,mean_transposition_gap,mean_comb_tilt,mean_success,mean_payoff
comparison,unsuccessful,24,20,0.377,0.494,0.216,0.208,0.183,0.058,0.272,0.516,4.807
comparison,unsuccessful,25,20,0.394,0.516,0.218,0.214,0.190,0.051,0.282,0.515,4.814
comparison,unsuccessful,26,20,0.412,0.538,0.225,0.209,0.186,0.060,0.297,0.517,4.857
comparison,unsuccessful,27,20,0.435,0.554,0.238,0.219,0.195,0.067,0.306,0.521,4.915
comparison,unsuccessful,28,20,0.445,0.568,0.247,0.214,0.197,0.067,0.314,0.525,4.985
comparison,unsuccessful,29,20,0.449,0.588,0.242,0.205,0.189,0.069,0.322,0.527,5.013
comparison,unsuccessful,30,20,0.454,0.596,0.244,0.209,0.186,0.080,0.318,0.529,5.034
comparison,unsuccessful,31,20,0.471,0.605,0.245,0.210,0.190,0.075,0.327,0.527,5.019
comparison,unsuccessful,32,20,0.482,0.619,0.234,0.205,0.185,0.069,0.340,0.532,5.108
comparison,unsuccessful,33,20,0.493,0.636,0.235,0.208,0.190,0.062,0.342,0.533,5.124
comparison,unsuccessful,34,20,0.503,0.654,0.229,0.205,0.185,0.064,0.349,0.538,5.188
comparison,unsuccessful,35,20,0.516,0.667,0.222,0.188,0.170,0.069,0.343,0.539,5.205
comparison,unsuccessful,36,20,0.528,0.678,0.222,0.194,0.176,0.065,0.341,0.544,5.254
comparison,unsuccessful,37,20,0.535,0.677,0.212,0.192,0.174,0.055,0.340,0.545,5.264
comparison,unsuccessful,38,20,0.539,0.683,0.219,0.194,0.179,0.054,0.339,0.546,5.278
comparison,unsuccessful,39,20,0.538,0.689,0.215,0.198,0.185,0.043,0.341,0.548,5.306
comparison,unsuccessful,40,20,0.558,0.705,0.218,0.193,0.186,0.040,0.332,0.551,5.335
comparison,unsuccessful,41,20,0.569,0.727,0.218,0.192,0.185,0.040,0.330,0.558,5.425
comparison,unsuccessful,42,20,0.583,0.733,0.220,0.193,0.184,0.044,0.331,0.557,5.426
comparison,unsuccessful,43,20,0.589,0.741,0.216,0.199,0.186,0.043,0.344,0.554,5.409
comparison,unsuccessful,44,20,0.591,0.754,0.215,0.200,0.182,0.050,0.350,0.557,5.450
comparison,unsuccessful,45,20,0.594,0.756,0.214,0.203,0.182,0.053,0.344,0.560,5.474
comparison,unsuccessful,46,20,0.610,0.767,0.213,0.205,0.179,0.059,0.340,0.562,5.512
comparison,unsuccessful,47,20,0.625,0.769,0.213,0.199,0.178,0.055,0.336,0.563,5.515
comparison,unsuccessful,48,20,0.639,0.778,0.212,0.206,0.180,0.058,0.330,0.566,5.543
comparison,unsuccessful,49,20,0.656,0.778,0.210,0.208,0.183,0.053,0.327,0.564,5.537
comparison,unsuccessful,50,20,0.663,0.790,0.213,0.213,0.188,0.049,0.334,0.565,5.553
comparison,unsuccessful,51,20,0.669,0.799,0.208,0.215,0.186,0.051,0.325,0.570,5.623
comparison,unsuccessful,52,20,0.676,0.804,0.220,0.227,0.195,0.056,0.333,0.568,5.593
comparison,unsuccessful,53,20,0.681,0.800,0.225,0.229,0.203,0.049,0.327,0.564,5.553
comparison,unsuccessful,54,20,0.690,0.802,0.226,0.230,0.204,0.049,0.328,0.569,5.600
comparison,unsuccessful,55,20,0.696,0.812,0.230,0.230,0.205,0.050,0.318,0.572,5.636
comparison,unsuccessful,56,20,0.700,0.818,0.229,0.225,0.198,0.058,0.314,0.573,5.653
comparison,unsuccessful,57,20,0.715,0.818,0.234,0.225,0.200,0.059,0.300,0.574,5.631
comparison,unsuccessful,58,20,0.719,0.822,0.221,0.213,0.187,0.061,0.294,0.576,5.665
comparison,unsuccessful,59,20,0.717,0.817,0.221,0.213,0.185,0.064,0.286,0.576,5.643
comparison,unsuccessful,60,20,0.725,0.806,0.223,0.212,0.186,0.062,0.282,0.578,5.670
comparison,unsuccessful,61,20,0.725,0.810,0.229,0.223,0.190,0.073,0.284,0.574,5.606
comparison,unsuccessful,62,20,0.722,0.809,0.221,0.213,0.184,0.065,0.280,0.575,5.628
comparison,unsuccessful,63,20,0.723,0.805,0.223,0.217,0.185,0.069,0.282,0.577,5.660
comparison,unsuccessful,64,20,0.727,0.811,0.221,0.216,0.185,0.067,0.280,0.576,5.645
comparison,unsuccessful,65,20,0.732,0.804,0.221,0.216,0.184,0.068,0.273,0.574,5.607
comparison,unsuccessful,66,20,0.741,0.811,0.224,0.221,0.187,0.071,0.263,0.577,5.645
comparison,unsuccessful,67,20,0.742,0.825,0.226,0.211,0.183,0.071,0.278,0.578,5.671
comparison,unsuccessful,68,20,0.746,0.823,0.235,0.214,0.185,0.079,0.278,0.582,5.717
comparison,unsuccessful,69,20,0.741,0.828,0.236,0.221,0.188,0.080,0.272,0.578,5.658
comparison,unsuccessful,70,20,0.747,0.825,0.235,0.220,0.190,0.074,0.276,0.581,5.693
comparison,unsuccessful,71,20,0.755,0.827,0.233,0.212,0.184,0.077,0.272,0.581,5.701
comparison,unsuccessful,72,20,0.762,0.824,0.227,0.206,0.180,0.074,0.277,0.588,5.777
comparison,unsuccessful,73,20,0.771,0.820,0.220,0.203,0.177,0.068,0.268,0.587,5.753
comparison,unsuccessful,74,20,0.777,0.830,0.215,0.205,0.175,0.070,0.278,0.585,5.745
comparison,unsuccessful,75,20,0.773,0.836,0.214,0.206,0.181,0.058,0.273,0.587,5.760
comparison,unsuccessful,76,20,0.790,0.831,0.209,0.197,0.177,0.051,0.277,0.586,5.766
comparison,unsuccessful,77,20,0.793,0.834,0.206,0.201,0.179,0.049,0.274,0.590,5.802
comparison,unsuccessful,78,20,0.798,0.841,0.206,0.208,0.184,0.045,0.269,0.591,5.818
comparison,unsuccessful,79,20,0.785,0.838,0.200,0.206,0.179,0.047,0.282,0.588,5.801
comparison,unsuccessful,80,20,0.791,0.829,0.205,0.211,0.183,0.050,0.288,0.590,5.823
comparison,unsuccessful,81,20,0.788,0.827,0.216,0.216,0.189,0.055,0.295,0.586,5.787
comparison,unsuccessful,82,20,0.791,0.825,0.214,0.214,0.185,0.058,0.294,0.586,5.787
comparison,unsuccessful,83,20,0.801,0.827,0.219,0.208,0.186,0.056,0.294,0.586,5.778
comparison,unsuccessful,84,20,0.801,0.825,0.218,0.201,0.182,0.054,0.296,0.587,5.798
comparison,unsuccessful,85,20,0.803,0.824,0.216,0.194,0.176,0.057,0.301,0.588,5.819
comparison,unsuccessful,86,20,0.799,0.822,0.221,0.204,0.184,0.057,0.301,0.584,5.782
comparison,unsuccessful,87,20,0.799,0.825,0.225,0.205,0.187,0.055,0.292,0.585,5.778
comparison,unsuccessful,88,20,0.802,0.829,0.232,0.200,0.186,0.059,0.289,0.585,5.784
comparison,unsuccessful,89,20,0.792,0.826,0.226,0.192,0.179,0.059,0.296,0.580,5.735
comparison,unsuccessful,90,20,0.793,0.812,0.231,0.196,0.183,0.061,0.292,0.581,5.731
comparison,unsuccessful,91,20,0.795,0.814,0.236,0.198,0.186,0.062,0.286,0.581,5.725
comparison,unsuccessful,92,20,0.794,0.813,0.244,0.205,0.192,0.064,0.292,0.581,5.740
comparison,unsuccessful,93,20,0.797,0.818,0.244,0.211,0.196,0.063,0.284,0.582,5.744
comparison,unsuccessful,94,20,0.795,0.818,0.256,0.224,0.209,0.061,0.283,0.576,5.673
comparison,unsuccessful,95,20,0.793,0.816,0.247,0.226,0.209,0.056,0.288,0.577,5.682
comparison,unsuccessful,96,20,0.793,0.827,0.245,0.232,0.212,0.053,0.282,0.581,5.724
comparison,unsuccessful,97,20,0.795,0.829,0.243,0.234,0.215,0.046,0.273,0.584,5.741
comparison,unsuccessful,98,20,0.788,0.833,0.253,0.234,0.217,0.053,0.280,0.579,5.692
comparison,unsuccessful,99,20,0.789,0.838,0.240,0.227,0.206,0.055,0.290,0.583,5.770
comparison,unsuccessful,100,20,0.783,0.843,0.241,0.220,0.204,0.053,0.281,0.582,5.731
comparison,unsuccessful,101,20,0.782,0.846,0.246,0.218,0.204,0.056,0.281,0.587,5.793
comparison,unsuccessful,102,20,0.785,0.846,0.246,0.215,0.204,0.053,0.297,0.589,5.833
comparison,unsuccessful,103,20,0.794,0.843,0.240,0.211,0.203,0.046,0.284,0.589,5.816
comparison,unsuccessful,104,20,0.802,0.848,0.236,0.213,0.203,0.043,0.282,0.594,5.887
comparison,unsuccessful,105,20,0.811,0.853,0.228,0.206,0.195,0.044,0.278,0.594,5.880
comparison,unsuccessful,106,20,0.803,0.850,0.232,0.214,0.201,0.044,0.278,0.593,5.874
comparison,unsuccessful,107,20,0.806,0.854,0.229,0.225,0.206,0.042,0.279,0.595,5.893
comparison,unsuccessful,108,20,0.805,0.848,0.225,0.232,0.208,0.041,0.277,0.591,5.839
comparison,unsuccessful,109,20,0.803,0.843,0.231,0.241,0.217,0.039,0.274,0.589,5.823
comparison,unsuccessful,110,20,0.798,0.837,0.236,0.242,0.224,0.030,0.273,0.589,5.822
