number,state,value,seed,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation,stable,collapsed,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition
87,COMPLETE,6.000,104,7,0.340,7,0.900,0.440,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.621,6.672,0.854,0.810,0.839,0.810
88,COMPLETE,4.986,100,7,0.390,7,1.200,0.450,5.000,0.035,0.100,0.080,0.700,false,false,0.928,0.611,9.395,0.742,0.532,0.530,0.530
88,COMPLETE,4.986,101,7,0.390,7,1.200,0.450,5.000,0.035,0.100,0.080,0.700,true,false,1.000,0.627,10.299,0.871,0.800,0.782,0.782
88,COMPLETE,4.986,102,7,0.390,7,1.200,0.450,5.000,0.035,0.100,0.080,0.700,true,false,1.000,0.629,10.071,0.827,0.800,0.822,0.800
88,COMPLETE,4.986,103,7,0.390,7,1.200,0.450,5.000,0.035,0.100,0.080,0.700,true,false,1.000,0.657,10.665,0.872,0.775,0.844,0.775
88,COMPLETE,4.986,104,7,0.390,7,1.200,0.450,5.000,0.035,0.100,0.080,0.700,true,false,1.000,0.668,11.166,0.908,0.760,0.813,0.760
89,COMPLETE,3.935,100,7,0.340,7,1.200,0.450,5.000,0.040,0.100,0.070,0.500,false,false,0.980,0.583,8.654,0.784,0.633,0.753,0.633
89,COMPLETE,3.935,101,7,0.340,7,1.200,0.450,5.000,0.040,0.100,0.070,0.500,true,false,1.000,0.586,8.707,0.816,0.820,0.785,0.785
89,COMPLETE,3.935,102,7,0.340,7,1.200,0.450,5.000,0.040,0.100,0.070,0.500,true,false,1.000,0.600,9.055,0.851,0.719,0.761,0.719
89,COMPLETE,3.935,103,7,0.340,7,1.200,0.450,5.000,0.040,0.100,0.070,0.500,true,false,1.000,0.590,8.934,0.853,0.728,0.792,0.728
89,COMPLETE,3.935,104,7,0.340,7,1.200,0.450,5.000,0.040,0.100,0.070,0.500,false,false,0.697,0.578,8.214,0.740,0.362,0.348,0.348
90,COMPLETE,4.997,100,7,0.340,7,1.200,0.450,5.500,0.040,0.100,0.090,0.500,true,false,1.000,0.608,9.013,0.804,0.838,0.812,0.812
90,COMPLETE,4.997,101,7,0.340,7,1.200,0.450,5.500,0.040,0.100,0.090,0.500,true,false,1.000,0.616,9.334,0.846,0.766,0.783,0.766
90,COMPLETE,4.997,102,7,0.340,7,1.200,0.450,5.500,0.040,0.100,0.090,0.500,true,false,1.000,0.594,8.774,0.830,0.759,0.790,0.759
90,COMPLETE,4.997,103,7,0.340,7,1.200,0.450,5.500,0.040,0.100,0.090,0.500,false,false,0.983,0.583,8.637,0.787,0.751,0.777,0.751
90,COMPLETE,4.997,104,7,0.340,7,1.200,0.450,5.500,0.040,0.100,0.090,0.500,true,false,1.000,0.570,8.388,0.804,0.717,0.737,0.717
91,COMPLETE,4.981,100,7,0.340,7,0.800,0.450,5.500,0.040,0.100,0.090,0.500,false,false,0.903,0.589,4.847,0.722,0.839,0.777,0.777
91,COMPLETE,4.981,101,7,0.340,7,0.800,0.450,5.500,0.040,0.100,0.090,0.500,true,false,1.000,0.599,5.045,0.861,0.778,0.751,0.751
91,COMPLETE,4.981,102,7,0.340,7,0.800,0.450,5.500,0.040,0.100,0.090,0.500,true,false,1.000,0.587,4.769,0.837,0.687,0.811,0.687
91,COMPLETE,4.981,103,7,0.340,7,0.800,0.450,5.500,0.040,0.100,0.090,0.500,true,false,1.000,0.567,4.728,0.804,0.781,0.767,0.767
91,COMPLETE,4.981,104,7,0.340,7,0.800,0.450,5.500,0.040,0.100,0.090,0.500,true,false,1.000,0.569,4.727,0.892,0.644,0.715,0.644
92,COMPLETE,4.995,100,6,0.340,7,0.800,0.420,5.500,0.040,0.110,0.090,0.800,true,false,1.000,0.558,4.416,0.848,0.839,0.788,0.788
92,COMPLETE,4.995,101,6,0.340,7,0.800,0.420,5.500,0.040,0.110,0.090,0.800,true,false,1.000,0.561,4.225,0.822,0.782,0.814,0.782
92,COMPLETE,4.995,102,6,0.340,7,0.800,0.420,5.500,0.040,0.110,0.090,0.800,true,false,1.000,0.555,4.174,0.815,0.760,0.724,0.724
92,COMPLETE,4.995,103,6,0.340,7,0.800,0.420,5.500,0.040,0.110,0.090,0.800,true,false,1.000,0.513,3.796,0.832,0.793,0.749,0.749
92,COMPLETE,4.995,104,6,0.340,7,0.800,0.420,5.500,0.040,0.110,0.090,0.800,false,false,0.976,0.552,4.289,0.781,0.848,0.827,0.827
93,COMPLETE,4.995,100,6,0.340,7,0.800,0.420,5.500,0.040,0.110,0.090,0.800,true,false,1.000,0.558,4.416,0.848,0.839,0.788,0.788
93,COMPLETE,4.995,101,6,0.340,7,0.800,0.420,5.500,0.040,0.110,0.090,0.800,true,false,1.000,0.561,4.225,0.822,0.782,0.814,0.782
93,COMPLETE,4.995,102,6,0.340,7,0.800,0.420,5.500,0.040,0.110,0.090,0.800,true,false,1.000,0.555,4.174,0.815,0.760,0.724,0.724
93,COMPLETE,4.995,103,6,0.340,7,0.800,0.420,5.500,0.040,0.110,0.090,0.800,true,false,1.000,0.513,3.796,0.832,0.793,0.749,0.749
93,COMPLETE,4.995,104,6,0.340,7,0.800,0.420,5.500,0.040,0.110,0.090,0.800,false,false,0.976,0.552,4.289,0.781,0.848,0.827,0.827
94,COMPLETE,6.000,100,7,0.340,7,0.800,0.420,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.629,5.779,0.893,0.808,0.807,0.807
94,COMPLETE,6.000,101,7,0.340,7,0.800,0.420,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.605,5.530,0.877,0.724,0.759,0.724
94,COMPLETE,6.000,102,7,0.340,7,0.800,0.420,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.590,5.329,0.802,0.898,0.870,0.870
94,COMPLETE,6.000,103,7,0.340,7,0.800,0.420,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.566,5.129,0.859,0.806,0.819,0.806
94,COMPLETE,6.000,104,7,0.340,7,0.800,0.420,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.616,5.503,0.850,0.791,0.823,0.791
95,COMPLETE,6.000,100,7,0.360,6,0.900,0.440,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.632,6.929,0.872,0.854,0.793,0.793
95,COMPLETE,6.000,101,7,0.360,6,0.900,0.440,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.577,6.112,0.871,0.742,0.676,0.676
95,COMPLETE,6.000,102,7,0.360,6,0.900,0.440,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.604,6.448,0.809,0.785,0.828,0.785
95,COMPLETE,6.000,103,7,0.360,6,0.900,0.440,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.611,6.458,0.809,0.841,0.859,0.841
95,COMPLETE,6.000,104,7,0.360,6,0.900,0.440,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.586,6.507,0.865,0.836,0.791,0.791
96,COMPLETE,6.000,100,7,0.360,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,true,false,1.000,0.648,7.183,0.812,0.774,0.784,0.774
96,COMPLETE,6.000,101,7,0.360,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,true,false,1.000,0.638,7.213,0.869,0.821,0.848,0.821
96,COMPLETE,6.000,102,7,0.360,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,true,false,1.000,0.658,7.513,0.876,0.831,0.857,0.831
96,COMPLETE,6.000,103,7,0.360,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,true,false,1.000,0.654,7.355,0.887,0.706,0.716,0.706
96,COMPLETE,6.000,104,7,0.360,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,true,false,1.000,0.640,7.042,0.807,0.753,0.793,0.753
97,COMPLETE,6.000,100,7,0.370,13,0.900,0.440,5.000,0.035,0.090,0.080,0.900,true,false,1.000,0.702,8.315,0.872,0.843,0.876,0.843
97,COMPLETE,6.000,101,7,0.370,13,0.900,0.440,5.000,0.035,0.090,0.080,0.900,true,false,1.000,0.678,7.697,0.813,0.815,0.819,0.815
97,COMPLETE,6.000,102,7,0.370,13,0.900,0.440,5.000,0.035,0.090,0.080,0.900,true,false,1.000,0.694,7.992,0.850,0.888,0.856,0.856
97,COMPLETE,6.000,103,7,0.370,13,0.900,0.440,5.000,0.035,0.090,0.080,0.900,true,false,1.000,0.664,7.635,0.857,0.841,0.793,0.793
97,COMPLETE,6.000,104,7,0.370,13,0.900,0.440,5.000,0.035,0.090,0.080,0.900,true,false,1.000,0.641,7.085,0.829,0.644,0.664,0.644
98,COMPLETE,6.000,100,7,0.360,6,0.800,0.440,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.598,5.473,0.878,0.660,0.564,0.564
98,COMPLETE,6.000,101,7,0.360,6,0.800,0.440,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.620,5.712,0.892,0.841,0.815,0.815
98,COMPLETE,6.000,102,7,0.360,6,0.800,0.440,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.577,5.271,0.850,0.767,0.777,0.767
98,COMPLETE,6.000,103,7,0.360,6,0.800,0.440,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.618,5.766,0.906,0.815,0.794,0.794
98,COMPLETE,6.000,104,7,0.360,6,0.800,0.440,5.000,0.035,0.090,0.080,0.800,true,false,1.000,0.614,5.724,0.889,0.820,0.843,0.820
99,COMPLETE,4.999,100,7,0.350,6,0.800,0.390,5.000,0.030,0.090,0.080,0.800,true,false,1.000,0.590,5.450,0.842,0.718,0.727,0.718
99,COMPLETE,4.999,101,7,0.350,6,0.800,0.390,5.000,0.030,0.090,0.080,0.800,false,false,0.997,0.592,5.430,0.797,0.813,0.835,0.813
99,COMPLETE,4.999,102,7,0.350,6,0.800,0.390,5.000,0.030,0.090,0.080,0.800,true,false,1.000,0.602,5.554,0.804,0.766,0.734,0.734
99,COMPLETE,4.999,103,7,0.350,6,0.800,0.390,5.000,0.030,0.090,0.080,0.800,true,false,1.000,0.628,5.825,0.842,0.810,0.792,0.792
99,COMPLETE,4.999,104,7,0.350,6,0.800,0.390,5.000,0.030,0.090,0.080,0.800,true,false,1.000,0.579,5.382,0.833,0.815,0.751,0.751
100,COMPLETE,4.897,100,7,0.370,6,0.800,0.390,5.000,0.030,0.090,0.080,0.800,true,false,1.000,0.592,5.526,0.810,0.584,0.557,0.557
100,COMPLETE,4.897,101,7,0.370,6,0.800,0.390,5.000,0.030,0.090,0.080,0.800,true,false,1.000,0.616,5.806,0.826,0.770,0.798,0.770
100,COMPLETE,4.897,102,7,0.370,6,0.800,0.390,5.000,0.030,0.090,0.080,0.800,true,false,1.000,0.611,5.739,0.854,0.739,0.741,0.739
100,COMPLETE,4.897,103,7,0.370,6,0.800,0.390,5.000,0.030,0.090,0.080,0.800,true,false,1.000,0.610,5.790,0.834,0.766,0.782,0.766
100,COMPLETE,4.897,104,7,0.370,6,0.800,0.390,5.000,0.030,0.090,0.080,0.800,false,false,0.483,0.577,5.237,0.837,0.241,0.339,0.241
101,COMPLETE,3.950,100,7,0.350,6,0.800,0.390,5.000,0.030,0.080,0.070,0.800,true,false,1.000,0.591,5.558,0.867,0.759,0.799,0.759
101,COMPLETE,3.950,101,7,0.350,6,0.800,0.390,5.000,0.030,0.080,0.070,0.800,false,false,0.983,0.575,5.183,0.795,0.564,0.491,0.491
101,COMPLETE,3.950,102,7,0.350,6,0.800,0.390,5.000,0.030,0.080,0.070,0.800,true,false,1.000,0.609,5.663,0.829,0.821,0.771,0.771
101,COMPLETE,3.950,103,7,0.350,6,0.800,0.390,5.000,0.030,0.080,0.070,0.800,true,false,1.000,0.623,5.846,0.834,0.822,0.844,0.822
101,COMPLETE,3.950,104,7,0.350,6,0.800,0.390,5.000,0.030,0.080,0.070,0.800,false,false,0.766,0.592,5.170,0.687,0.386,0.383,0.383
102,COMPLETE,3.967,100,7,0.350,7,0.800,0.390,5.000,0.030,0.080,0.100,0.800,true,false,1.000,0.627,5.910,0.818,0.818,0.843,0.818
102,COMPLETE,3.967,101,7,0.350,7,0.800,0.390,5.000,0.030,0.080,0.100,0.800,false,false,0.885,0.567,5.153,0.775,0.442,0.475,0.442
102,COMPLETE,3.967,102,7,0.350,7,0.800,0.390,5.000,0.030,0.080,0.100,0.800,true,false,1.000,0.621,5.812,0.818,0.826,0.883,0.826
102,COMPLETE,3.967,103,7,0.350,7,0.800,0.390,5.000,0.030,0.080,0.100,0.800,true,false,1.000,0.588,5.360,0.805,0.749,0.736,0.736
102,COMPLETE,3.967,104,7,0.350,7,0.800,0.390,5.000,0.030,0.080,0.100,0.800,false,false,0.951,0.604,5.509,0.761,0.867,0.900,0.867
103,COMPLETE,4.988,100,7,0.350,7,1.100,0.400,5.500,0.030,0.080,0.070,0.800,true,false,1.000,0.611,8.690,0.869,0.849,0.839,0.839
103,COMPLETE,4.988,101,7,0.350,7,1.100,0.400,5.500,0.030,0.080,0.070,0.800,true,false,1.000,0.607,8.522,0.847,0.783,0.682,0.682
103,COMPLETE,4.988,102,7,0.350,7,1.100,0.400,5.500,0.030,0.080,0.070,0.800,true,false,1.000,0.608,8.514,0.826,0.887,0.889,0.887
103,COMPLETE,4.988,103,7,0.350,7,1.100,0.400,5.500,0.030,0.080,0.070,0.800,true,false,1.000,0.624,8.875,0.824,0.840,0.807,0.807
103,COMPLETE,4.988,104,7,0.350,7,1.100,0.400,5.500,0.030,0.080,0.070,0.800,false,false,0.941,0.640,8.850,0.753,0.877,0.846,0.846
104,COMPLETE,3.968,100,7,0.350,6,0.900,0.410,5.000,0.035,0.080,0.070,0.800,false,false,0.909,0.591,6.003,0.727,0.722,0.657,0.657
104,COMPLETE,3.968,101,7,0.350,6,0.900,0.410,5.000,0.035,0.080,0.070,0.800,true,false,1.000,0.612,6.571,0.853,0.828,0.801,0.801
104,COMPLETE,3.968,102,7,0.350,6,0.900,0.410,5.000,0.035,0.080,0.070,0.800,true,false,1.000,0.586,6.007,0.817,0.573,0.511,0.511
104,COMPLETE,3.968,103,7,0.350,6,0.900,0.410,5.000,0.035,0.080,0.070,0.800,false,false,0.931,0.569,5.811,0.745,0.820,0.768,0.768
104,COMPLETE,3.968,104,7,0.350,6,0.900,0.410,5.000,0.035,0.080,0.070,0.800,true,false,1.000,0.595,6.141,0.867,0.826,0.858,0.826
105,COMPLETE,4.995,100,7,0.350,7,0.900,0.400,5.000,0.035,0.100,0.080,0.800,true,false,1.000,0.626,6.735,0.858,0.752,0.705,0.705
105,COMPLETE,4.995,101,7,0.350,7,0.900,0.400,5.000,0.035,0.100,0.080,0.800,true,false,1.000,0.626,6.758,0.851,0.792,0.820,0.792
105,COMPLETE,4.995,102,7,0.350,7,0.900,0.400,5.000,0.035,0.100,0.080,0.800,false,false,0.976,0.582,5.856,0.781,0.693,0.729,0.693
105,COMPLETE,4.995,103,7,0.350,7,0.900,0.400,5.000,0.035,0.100,0.080,0.800,true,false,1.000,0.596,6.336,0.888,0.860,0.848,0.848
105,COMPLETE,4.995,104,7,0.350,7,0.900,0.400,5.000,0.035,0.100,0.080,0.800,true,false,1.000,0.557,5.797,0.850,0.614,0.747,0.614
106,COMPLETE,6.000,100,7,0.360,7,0.900,0.410,5.000,0.035,0.100,0.080,0.800,true,false,1.000,0.624,6.774,0.846,0.766,0.756,0.756
106,COMPLETE,6.000,101,7,0.360,7,0.900,0.410,5.000,0.035,0.100,0.080,0.800,true,false,1.000,0.615,6.652,0.852,0.668,0.748,0.668
106,COMPLETE,6.000,102,7,0.360,7,0.900,0.410,5.000,0.035,0.100,0.080,0.800,true,false,1.000,0.631,6.949,0.881,0.859,0.875,0.859
106,COMPLETE,6.000,103,7,0.360,7,0.900,0.410,5.000,0.035,0.100,0.080,0.800,true,false,1.000,0.616,6.501,0.834,0.670,0.726,0.670
106,COMPLETE,6.000,104,7,0.360,7,0.900,0.410,5.000,0.035,0.100,0.080,0.800,true,false,1.000,0.596,6.618,0.935,0.767,0.751,0.751
107,COMPLETE,4.986,100,7,0.360,7,1.100,0.420,5.500,0.035,0.100,0.080,0.800,true,false,1.000,0.573,7.854,0.870,0.760,0.709,0.709
107,COMPLETE,4.986,101,7,0.360,7,1.100,0.420,5.500,0.035,0.100,0.080,0.800,false,false,0.929,0.599,7.990,0.743,0.779,0.745,0.745
107,COMPLETE,4.986,102,7,0.360,7,1.100,0.420,5.500,0.035,0.100,0.080,0.800,true,false,1.000,0.638,8.786,0.826,0.781,0.794,0.781
107,COMPLETE,4.986,103,7,0.360,7,1.100,0.420,5.500,0.035,0.100,0.080,0.800,true,false,1.000,0.615,8.353,0.817,0.832,0.800,0.800
107,COMPLETE,4.986,104,7,0.360,7,1.100,0.420,5.500,0.035,0.100,0.080,0.800,true,false,1.000,0.638,8.912,0.854,0.774,0.817,0.774
108,COMPLETE,4.989,100,7,0.360,7,0.900,0.420,5.000,0.035,0.100,0.080,0.800,true,false,1.000,0.619,6.759,0.836,0.747,0.732,0.732
108,COMPLETE,4.989,101,7,0.360,7,0.900,0.420,5.000,0.035,0.100,0.080,0.800,false,false,0.946,0.621,6.433,0.757,0.766,0.767,0.766
108,COMPLETE,4.989,102,7,0.360,7,0.900,0.420,5.000,0.035,0.100,0.080,0.800,true,false,1.000,0.594,6.433,0.852,0.800,0.752,0.752
108,COMPLETE,4.989,103,7,0.360,7,0.900,0.420,5.000,0.035,0.100,0.080,0.800,true,false,1.000,0.611,6.556,0.820,0.708,0.717,0.708
108,COMPLETE,4.989,104,7,0.360,7,0.900,0.420,5.000,0.035,0.100,0.080,0.800,true,false,1.000,0.584,6.251,0.835,0.716,0.757,0.716
