number,state,value,seed,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation,stable,collapsed,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition
7,COMPLETE,0.221,104,5,0.380,11,1.100,0.300,8.500,0.045,0.040,0.110,0.500,false,false,0.251,0.578,5.060,0.201,0.328,0.149,0.149
8,COMPLETE,1.418,100,6,0.290,11,1.000,0.370,8.500,0.020,0.070,0.060,0.700,false,false,0.343,0.497,5.048,0.274,0.241,0.198,0.198
8,COMPLETE,1.418,101,6,0.290,11,1.000,0.370,8.500,0.020,0.070,0.060,0.700,false,false,0.293,0.520,5.318,0.258,0.146,0.164,0.146
8,COMPLETE,1.418,102,6,0.290,11,1.000,0.370,8.500,0.020,0.070,0.060,0.700,false,false,0.347,0.467,4.826,0.359,0.199,0.173,0.173
8,COMPLETE,1.418,103,6,0.290,11,1.000,0.370,8.500,0.020,0.070,0.060,0.700,false,false,0.107,0.553,5.462,0.086,0.214,0.207,0.207
8,COMPLETE,1.418,104,6,0.290,11,1.000,0.370,8.500,0.020,0.070,0.060,0.700,true,false,1.000,0.522,6.499,0.885,0.840,0.879,0.840
9,COMPLETE,0.168,100,3,0.220,8,1.100,0.220,9.000,0.015,0.040,0.070,0.700,false,false,0.175,0.275,2.503,0.140,0.126,0.199,0.126
9,COMPLETE,0.168,101,3,0.220,8,1.100,0.220,9.000,0.015,0.040,0.070,0.700,false,false,0.129,0.267,2.370,0.103,0.421,0.183,0.183
9,COMPLETE,0.168,102,3,0.220,8,1.100,0.220,9.000,0.015,0.040,0.070,0.700,false,false,0.172,0.282,2.575,0.138,0.268,0.314,0.268
9,COMPLETE,0.168,103,3,0.220,8,1.100,0.220,9.000,0.015,0.040,0.070,0.700,false,false,0.200,0.289,2.670,0.160,0.134,0.112,0.112
9,COMPLETE,0.168,104,3,0.220,8,1.100,0.220,9.000,0.015,0.040,0.070,0.700,false,false,0.166,0.270,2.483,0.204,0.306,0.083,0.083
10,COMPLETE,2.528,100,8,0.230,8,1.000,0.250,5.500,0.045,0.110,0.090,0.600,false,false,0.245,0.512,3.871,0.196,0.189,0.201,0.189
10,COMPLETE,2.528,101,8,0.230,8,1.000,0.250,5.500,0.045,0.110,0.090,0.600,true,false,1.000,0.514,4.411,0.914,0.870,0.868,0.868
10,COMPLETE,2.528,102,8,0.230,8,1.000,0.250,5.500,0.045,0.110,0.090,0.600,true,false,1.000,0.527,4.560,0.850,0.825,0.857,0.825
10,COMPLETE,2.528,103,8,0.230,8,1.000,0.250,5.500,0.045,0.110,0.090,0.600,false,false,0.109,0.551,4.225,0.087,0.235,0.215,0.215
10,COMPLETE,2.528,104,8,0.230,8,1.000,0.250,5.500,0.045,0.110,0.090,0.600,false,false,0.288,0.517,3.834,0.230,0.319,0.221,0.221
11,COMPLETE,3.812,100,6,0.400,8,0.800,0.430,6.500,0.015,0.110,0.040,0.600,false,false,0.335,0.587,5.272,0.283,0.358,0.167,0.167
11,COMPLETE,3.812,101,6,0.400,8,0.800,0.430,6.500,0.015,0.110,0.040,0.600,true,false,1.000,0.546,5.868,0.816,0.510,0.527,0.510
11,COMPLETE,3.812,102,6,0.400,8,0.800,0.430,6.500,0.015,0.110,0.040,0.600,true,false,1.000,0.613,6.937,0.886,0.814,0.864,0.814
11,COMPLETE,3.812,103,6,0.400,8,0.800,0.430,6.500,0.015,0.110,0.040,0.600,false,false,0.726,0.573,5.913,0.682,0.436,0.363,0.363
11,COMPLETE,3.812,104,6,0.400,8,0.800,0.430,6.500,0.015,0.110,0.040,0.600,true,false,1.000,0.611,6.897,0.894,0.752,0.781,0.752
12,COMPLETE,0.302,100,8,0.340,11,1.000,0.220,7.000,0.035,0.070,0.050,0.600,false,false,0.210,0.699,6.790,0.168,0.253,0.184,0.184
12,COMPLETE,0.302,101,8,0.340,11,1.000,0.220,7.000,0.035,0.070,0.050,0.600,false,false,0.244,0.683,6.532,0.195,0.202,0.198,0.198
12,COMPLETE,0.302,102,8,0.340,11,1.000,0.220,7.000,0.035,0.070,0.050,0.600,false,false,0.626,0.696,7.046,0.501,0.509,0.512,0.509
12,COMPLETE,0.302,103,8,0.340,11,1.000,0.220,7.000,0.035,0.070,0.050,0.600,false,false,0.191,0.681,6.426,0.153,0.296,0.274,0.274
12,COMPLETE,0.302,104,8,0.340,11,1.000,0.220,7.000,0.035,0.070,0.050,0.600,false,false,0.239,0.681,6.456,0.191,0.165,0.172,0.165
13,COMPLETE,6.000,100,8,0.390,10,1.000,0.410,5.000,0.035,0.080,0.070,0.900,true,false,1.000,0.765,10.355,0.872,0.856,0.858,0.856
13,COMPLETE,6.000,101,8,0.390,10,1.000,0.410,5.000,0.035,0.080,0.070,0.900,true,false,1.000,0.726,9.705,0.869,0.837,0.800,0.800
13,COMPLETE,6.000,102,8,0.390,10,1.000,0.410,5.000,0.035,0.080,0.070,0.900,true,false,1.000,0.746,10.021,0.883,0.829,0.793,0.793
13,COMPLETE,6.000,103,8,0.390,10,1.000,0.410,5.000,0.035,0.080,0.070,0.900,true,false,1.000,0.717,9.532,0.876,0.787,0.805,0.787
13,COMPLETE,6.000,104,8,0.390,10,1.000,0.410,5.000,0.035,0.080,0.070,0.900,true,false,1.000,0.688,8.859,0.861,0.631,0.585,0.585
14,COMPLETE,0.284,100,5,0.390,15,0.800,0.350,8.000,0.020,0.090,0.060,0.600,false,false,0.246,0.587,4.631,0.197,0.346,0.223,0.223
14,COMPLETE,0.284,101,5,0.390,15,0.800,0.350,8.000,0.020,0.090,0.060,0.600,false,false,0.190,0.631,5.001,0.152,0.226,0.290,0.226
14,COMPLETE,0.284,102,5,0.390,15,0.800,0.350,8.000,0.020,0.090,0.060,0.600,false,false,0.430,0.566,4.548,0.344,0.217,0.246,0.217
14,COMPLETE,0.284,103,5,0.390,15,0.800,0.350,8.000,0.020,0.090,0.060,0.600,false,false,0.427,0.554,4.550,0.360,0.232,0.213,0.213
14,COMPLETE,0.284,104,5,0.390,15,0.800,0.350,8.000,0.020,0.090,0.060,0.600,false,false,0.127,0.609,4.764,0.101,0.237,0.254,0.237
15,COMPLETE,0.165,100,3,0.320,12,0.800,0.300,6.500,0.015,0.110,0.040,0.400,false,false,0.160,0.408,3.027,0.128,0.341,0.255,0.255
15,COMPLETE,0.165,101,3,0.320,12,0.800,0.300,6.500,0.015,0.110,0.040,0.400,false,false,0.127,0.438,3.298,0.102,0.193,0.362,0.193
15,COMPLETE,0.165,102,3,0.320,12,0.800,0.300,6.500,0.015,0.110,0.040,0.400,false,false,0.203,0.433,3.277,0.163,0.340,0.167,0.167
15,COMPLETE,0.165,103,3,0.320,12,0.800,0.300,6.500,0.015,0.110,0.040,0.400,false,false,0.117,0.455,3.453,0.094,0.268,0.370,0.268
15,COMPLETE,0.165,104,3,0.320,12,0.800,0.300,6.500,0.015,0.110,0.040,0.400,false,false,0.217,0.417,3.108,0.173,0.214,0.299,0.214
16,COMPLETE,2.715,100,8,0.260,6,0.900,0.210,5.500,0.040,0.090,0.100,0.300,false,false,0.698,0.504,3.569,0.630,0.349,0.443,0.349
16,COMPLETE,2.715,101,8,0.260,6,0.900,0.210,5.500,0.040,0.090,0.100,0.300,true,false,1.000,0.525,4.099,0.811,0.793,0.719,0.719
16,COMPLETE,2.715,102,8,0.260,6,0.900,0.210,5.500,0.040,0.090,0.100,0.300,false,false,0.446,0.515,3.566,0.357,0.357,0.386,0.357
16,COMPLETE,2.715,103,8,0.260,6,0.900,0.210,5.500,0.040,0.090,0.100,0.300,true,false,1.000,0.534,4.101,0.824,0.744,0.647,0.647
16,COMPLETE,2.715,104,8,0.260,6,0.900,0.210,5.500,0.040,0.090,0.100,0.300,false,false,0.433,0.524,3.649,0.347,0.346,0.372,0.346
17,COMPLETE,0.542,100,7,0.310,12,0.800,0.300,6.500,0.025,0.040,0.100,0.900,false,false,0.258,0.524,4.180,0.691,0.185,0.129,0.129
17,COMPLETE,0.542,101,7,0.310,12,0.800,0.300,6.500,0.025,0.040,0.100,0.900,false,false,0.439,0.520,4.157,0.768,0.219,0.319,0.219
17,COMPLETE,0.542,102,7,0.310,12,0.800,0.300,6.500,0.025,0.040,0.100,0.900,false,false,0.368,0.530,4.113,0.597,0.323,0.184,0.184
17,COMPLETE,0.542,103,7,0.310,12,0.800,0.300,6.500,0.025,0.040,0.100,0.900,false,false,0.648,0.521,4.102,0.705,0.400,0.324,0.324
17,COMPLETE,0.542,104,7,0.310,12,0.800,0.300,6.500,0.025,0.040,0.100,0.900,false,false,0.999,0.622,5.630,0.799,0.914,0.913,0.913
18,COMPLETE,4.984,100,6,0.400,8,1.200,0.450,5.000,0.030,0.060,0.100,0.800,true,false,1.000,0.624,10.417,0.810,0.845,0.878,0.845
18,COMPLETE,4.984,101,6,0.400,8,1.200,0.450,5.000,0.030,0.060,0.100,0.800,true,false,1.000,0.651,10.703,0.809,0.745,0.679,0.679
18,COMPLETE,4.984,102,6,0.400,8,1.200,0.450,5.000,0.030,0.060,0.100,0.800,true,false,1.000,0.652,10.968,0.854,0.781,0.797,0.781
18,COMPLETE,4.984,103,6,0.400,8,1.200,0.450,5.000,0.030,0.060,0.100,0.800,false,false,0.921,0.566,9.156,0.804,0.614,0.461,0.461
18,COMPLETE,4.984,104,6,0.400,8,1.200,0.450,5.000,0.030,0.060,0.100,0.800,true,false,1.000,0.647,10.781,0.869,0.829,0.814,0.814
19,COMPLETE,1.447,100,6,0.360,14,0.800,0.320,5.500,0.050,0.090,0.100,0.800,false,false,0.265,0.655,3.908,0.212,0.267,0.260,0.260
19,COMPLETE,1.447,101,6,0.360,14,0.800,0.320,5.500,0.050,0.090,0.100,0.800,false,false,0.387,0.618,3.670,0.345,0.193,0.246,0.193
19,COMPLETE,1.447,102,6,0.360,14,0.800,0.320,5.500,0.050,0.090,0.100,0.800,false,false,0.326,0.624,3.705,0.261,0.342,0.290,0.290
19,COMPLETE,1.447,103,6,0.360,14,0.800,0.320,5.500,0.050,0.090,0.100,0.800,true,false,1.000,0.634,4.618,0.848,0.821,0.844,0.821
19,COMPLETE,1.447,104,6,0.360,14,0.800,0.320,5.500,0.050,0.090,0.100,0.800,false,false,0.258,0.639,3.858,0.207,0.342,0.286,0.286
20,COMPLETE,0.201,100,4,0.400,6,1.000,0.160,7.500,0.050,0.070,0.060,0.700,false,false,0.262,0.501,2.935,0.209,0.195,0.153,0.153
20,COMPLETE,0.201,101,4,0.400,6,1.000,0.160,7.500,0.050,0.070,0.060,0.700,false,false,0.255,0.505,2.875,0.204,0.250,0.266,0.250
20,COMPLETE,0.201,102,4,0.400,6,1.000,0.160,7.500,0.050,0.070,0.060,0.700,false,false,0.154,0.510,2.998,0.123,0.268,0.295,0.268
20,COMPLETE,0.201,103,4,0.400,6,1.000,0.160,7.500,0.050,0.070,0.060,0.700,false,false,0.128,0.520,3.079,0.103,0.278,0.226,0.226
20,COMPLETE,0.201,104,4,0.400,6,1.000,0.160,7.500,0.050,0.070,0.060,0.700,false,false,0.206,0.523,3.081,0.165,0.232,0.311,0.232
21,COMPLETE,0.207,100,8,0.210,7,1.100,0.330,6.500,0.050,0.040,0.060,0.300,false,false,0.258,0.524,3.950,0.206,0.266,0.188,0.188
21,COMPLETE,0.207,101,8,0.210,7,1.100,0.330,6.500,0.050,0.040,0.060,0.300,false,false,0.149,0.504,3.745,0.119,0.288,0.290,0.288
21,COMPLETE,0.207,102,8,0.210,7,1.100,0.330,6.500,0.050,0.040,0.060,0.300,false,false,0.221,0.506,3.874,0.294,0.110,0.177,0.110
21,COMPLETE,0.207,103,8,0.210,7,1.100,0.330,6.500,0.050,0.040,0.060,0.300,false,false,0.205,0.527,3.863,0.164,0.151,0.298,0.151
21,COMPLETE,0.207,104,8,0.210,7,1.100,0.330,6.500,0.050,0.040,0.060,0.300,false,false,0.201,0.458,3.587,0.364,0.101,0.233,0.101
22,COMPLETE,1.360,100,4,0.240,14,1.100,0.150,7.000,0.020,0.110,0.070,0.700,false,false,0.164,0.395,3.954,0.131,0.228,0.196,0.196
22,COMPLETE,1.360,101,4,0.240,14,1.100,0.150,7.000,0.020,0.110,0.070,0.700,false,false,0.205,0.377,3.674,0.164,0.205,0.251,0.205
22,COMPLETE,1.360,102,4,0.240,14,1.100,0.150,7.000,0.020,0.110,0.070,0.700,false,false,0.230,0.390,3.846,0.184,0.208,0.151,0.151
22,COMPLETE,1.360,103,4,0.240,14,1.100,0.150,7.000,0.020,0.110,0.070,0.700,true,false,1.000,0.359,3.844,0.902,0.830,0.842,0.830
22,COMPLETE,1.360,104,4,0.240,14,1.100,0.150,7.000,0.020,0.110,0.070,0.700,false,false,0.202,0.367,3.527,0.162,0.386,0.271,0.271
23,COMPLETE,0.242,100,8,0.220,10,0.900,0.400,6.000,0.040,0.040,0.040,0.600,false,false,0.250,0.542,3.797,0.200,0.358,0.179,0.179
23,COMPLETE,0.242,101,8,0.220,10,0.900,0.400,6.000,0.040,0.040,0.040,0.600,false,false,0.245,0.561,3.972,0.257,0.124,0.122,0.122
23,COMPLETE,0.242,102,8,0.220,10,0.900,0.400,6.000,0.040,0.040,0.040,0.600,false,false,0.247,0.548,3.807,0.262,0.191,0.124,0.124
23,COMPLETE,0.242,103,8,0.220,10,0.900,0.400,6.000,0.040,0.040,0.040,0.600,false,false,0.256,0.556,3.916,0.212,0.183,0.128,0.128
23,COMPLETE,0.242,104,8,0.220,10,0.900,0.400,6.000,0.040,0.040,0.040,0.600,false,false,0.209,0.538,3.707,0.323,0.112,0.105,0.105
24,COMPLETE,2.698,100,7,0.320,12,0.800,0.450,7.500,0.020,0.110,0.050,0.500,true,false,1.000,0.541,5.473,0.904,0.614,0.638,0.614
24,COMPLETE,2.698,101,7,0.320,12,0.800,0.450,7.500,0.020,0.110,0.050,0.500,false,false,0.793,0.555,5.200,0.635,0.609,0.586,0.586
24,COMPLETE,2.698,102,7,0.320,12,0.800,0.450,7.500,0.020,0.110,0.050,0.500,false,false,0.484,0.546,4.731,0.429,0.253,0.242,0.242
24,COMPLETE,2.698,103,7,0.320,12,0.800,0.450,7.500,0.020,0.110,0.050,0.500,true,false,1.000,0.551,5.661,0.874,0.646,0.745,0.646
24,COMPLETE,2.698,104,7,0.320,12,0.800,0.450,7.500,0.020,0.110,0.050,0.500,false,false,0.214,0.589,4.772,0.171,0.221,0.281,0.221
25,COMPLETE,0.210,100,5,0.220,16,1.200,0.180,7.500,0.035,0.050,0.070,0.400,false,false,0.191,0.424,3.841,0.153,0.235,0.130,0.130
25,COMPLETE,0.210,101,5,0.220,16,1.200,0.180,7.500,0.035,0.050,0.070,0.400,false,false,0.212,0.447,4.061,0.182,0.231,0.106,0.106
25,COMPLETE,0.210,102,5,0.220,16,1.200,0.180,7.500,0.035,0.050,0.070,0.400,false,false,0.134,0.429,3.852,0.107,0.084,0.222,0.084
25,COMPLETE,0.210,103,5,0.220,16,1.200,0.180,7.500,0.035,0.050,0.070,0.400,false,false,0.280,0.429,3.814,0.224,0.161,0.183,0.161
25,COMPLETE,0.210,104,5,0.220,16,1.200,0.180,7.500,0.035,0.050,0.070,0.400,false,false,0.231,0.405,3.558,0.203,0.116,0.152,0.116
26,COMPLETE,0.195,100,4,0.280,8,0.900,0.390,8.500,0.035,0.080,0.080,0.700,false,false,0.204,0.404,1.972,0.163,0.293,0.220,0.220
26,COMPLETE,0.195,101,4,0.280,8,0.900,0.390,8.500,0.035,0.080,0.080,0.700,false,false,0.156,0.426,2.291,0.125,0.113,0.098,0.098
26,COMPLETE,0.195,102,4,0.280,8,0.900,0.390,8.500,0.035,0.080,0.080,0.700,false,false,0.180,0.407,2.034,0.144,0.187,0.316,0.187
26,COMPLETE,0.195,103,4,0.280,8,0.900,0.390,8.500,0.035,0.080,0.080,0.700,false,false,0.154,0.417,2.076,0.123,0.252,0.328,0.252
26,COMPLETE,0.195,104,4,0.280,8,0.900,0.390,8.500,0.035,0.080,0.080,0.700,false,false,0.280,0.400,1.980,0.224,0.140,0.147,0.140
27,COMPLETE,1.423,100,5,0.300,15,1.100,0.290,8.000,0.015,0.070,0.110,0.300,false,false,0.213,0.514,5.977,0.170,0.290,0.188,0.188
27,COMPLETE,1.423,101,5,0.300,15,1.100,0.290,8.000,0.015,0.070,0.110,0.300,true,false,1.000,0.483,6.621,0.835,0.839,0.865,0.839
27,COMPLETE,1.423,102,5,0.300,15,1.100,0.290,8.000,0.015,0.070,0.110,0.300,false,false,0.236,0.508,6.045,0.243,0.227,0.118,0.118
27,COMPLETE,1.423,103,5,0.300,15,1.100,0.290,8.000,0.015,0.070,0.110,0.300,false,false,0.338,0.489,5.750,0.271,0.299,0.174,0.174
27,COMPLETE,1.423,104,5,0.300,15,1.100,0.290,8.000,0.015,0.070,0.110,0.300,false,false,0.330,0.483,5.805,0.361,0.165,0.246,0.165
28,COMPLETE,0.249,100,6,0.370,11,1.300,0.170,9.000,0.015,0.050,0.090,0.800,false,false,0.324,0.610,8.828,0.259,0.334,0.316,0.316
28,COMPLETE,0.249,101,6,0.370,11,1.300,0.170,9.000,0.015,0.050,0.090,0.800,false,false,0.248,0.642,9.297,0.198,0.230,0.269,0.230
28,COMPLETE,0.249,102,6,0.370,11,1.300,0.170,9.000,0.015,0.050,0.090,0.800,false,false,0.167,0.611,8.713,0.134,0.315,0.414,0.315
28,COMPLETE,0.249,103,6,0.370,11,1.300,0.170,9.000,0.015,0.050,0.090,0.800,false,false,0.245,0.598,8.665,0.289,0.123,0.170,0.123
28,COMPLETE,0.249,104,6,0.370,11,1.300,0.170,9.000,0.015,0.050,0.090,0.800,false,false,0.264,0.622,8.996,0.222,0.132,0.175,0.132
29,COMPLETE,1.623,100,6,0.270,11,1.000,0.230,8.000,0.010,0.050,0.100,0.800,false,false,0.984,0.463,5.652,0.787,0.721,0.524,0.524
29,COMPLETE,1.623,101,6,0.270,11,1.000,0.230,8.000,0.010,0.050,0.100,0.800,false,false,0.261,0.507,5.607,0.209,0.300,0.329,0.300
29,COMPLETE,1.623,102,6,0.270,11,1.000,0.230,8.000,0.010,0.050,0.100,0.800,false,false,0.661,0.430,4.912,0.529,0.487,0.455,0.455
29,COMPLETE,1.623,103,6,0.270,11,1.000,0.230,8.000,0.010,0.050,0.100,0.800,false,false,0.208,0.511,5.592,0.166,0.211,0.170,0.170
29,COMPLETE,1.623,104,6,0.270,11,1.000,0.230,8.000,0.010,0.050,0.100,0.800,true,false,1.000,0.528,6.762,0.881,0.892,0.895,0.892
30,COMPLETE,0.273,100,3,0.260,13,1.000,0.330,5.500,0.030,0.110,0.110,0.900,false,false,0.236,0.368,2.675,0.189,0.215,0.202,0.202
30,COMPLETE,0.273,101,3,0.260,13,1.000,0.330,5.500,0.030,0.110,0.110,0.900,false,false,0.220,0.327,2.267,0.176,0.153,0.155,0.153
30,COMPLETE,0.273,102,3,0.260,13,1.000,0.330,5.500,0.030,0.110,0.110,0.900,false,false,0.190,0.378,2.786,0.152,0.271,0.252,0.252
30,COMPLETE,0.273,103,3,0.260,13,1.000,0.330,5.500,0.030,0.110,0.110,0.900,false,false,0.456,0.356,2.648,0.365,0.461,0.374,0.374
30,COMPLETE,0.273,104,3,0.260,13,1.000,0.330,5.500,0.030,0.110,0.110,0.900,false,false,0.263,0.365,2.612,0.210,0.162,0.158,0.158
31,COMPLETE,0.223,100,8,0.400,12,1.300,0.260,6.500,0.040,0.090,0.060,0.300,false,false,0.410,0.675,9.546,0.481,0.205,0.312,0.205
31,COMPLETE,0.223,101,8,0.400,12,1.300,0.260,6.500,0.040,0.090,0.060,0.300,false,false,0.139,0.770,10.351,0.111,0.268,0.225,0.225
31,COMPLETE,0.223,102,8,0.400,12,1.300,0.260,6.500,0.040,0.090,0.060,0.300,false,false,0.153,0.743,9.843,0.122,0.540,0.201,0.201
31,COMPLETE,0.223,103,8,0.400,12,1.300,0.260,6.500,0.040,0.090,0.060,0.300,false,false,0.179,0.754,10.069,0.143,0.172,0.266,0.172
31,COMPLETE,0.223,104,8,0.400,12,1.300,0.260,6.500,0.040,0.090,0.060,0.300,false,false,0.235,0.737,9.930,0.188,0.343,0.268,0.268
32,COMPLETE,1.389,100,4,0.370,14,1.300,0.230,5.500,0.020,0.100,0.100,0.300,false,false,0.288,0.523,7.445,0.230,0.194,0.223,0.194
32,COMPLETE,1.389,101,4,0.370,14,1.300,0.230,5.500,0.020,0.100,0.100,0.300,true,false,1.000,0.574,9.361,0.885,0.874,0.836,0.836
32,COMPLETE,1.389,102,4,0.370,14,1.300,0.230,5.500,0.020,0.100,0.100,0.300,false,false,0.184,0.535,7.400,0.147,0.309,0.269,0.269
32,COMPLETE,1.389,103,4,0.370,14,1.300,0.230,5.500,0.020,0.100,0.100,0.300,false,false,0.253,0.598,8.477,0.202,0.140,0.222,0.140
32,COMPLETE,1.389,104,4,0.370,14,1.300,0.230,5.500,0.020,0.100,0.100,0.300,false,false,0.218,0.561,7.859,0.174,0.359,0.374,0.359
33,COMPLETE,3.728,100,8,0.310,11,1.200,0.390,8.500,0.035,0.060,0.060,0.500,true,false,1.000,0.601,8.820,0.897,0.872,0.813,0.813
33,COMPLETE,3.728,101,8,0.310,11,1.200,0.390,8.500,0.035,0.060,0.060,0.500,true,false,1.000,0.619,9.281,0.917,0.902,0.846,0.846
33,COMPLETE,3.728,102,8,0.310,11,1.200,0.390,8.500,0.035,0.060,0.060,0.500,false,false,0.251,0.621,7.419,0.292,0.174,0.126,0.126
33,COMPLETE,3.728,103,8,0.310,11,1.200,0.390,8.500,0.035,0.060,0.060,0.500,false,false,0.391,0.591,7.104,0.326,0.196,0.201,0.196
33,COMPLETE,3.728,104,8,0.310,11,1.200,0.390,8.500,0.035,0.060,0.060,0.500,true,false,1.000,0.608,8.938,0.860,0.867,0.859,0.859
34,COMPLETE,0.269,100,8,0.240,6,0.900,0.210,9.000,0.045,0.110,0.110,0.900,false,false,0.242,0.454,1.961,0.194,0.298,0.245,0.245
34,COMPLETE,0.269,101,8,0.240,6,0.900,0.210,9.000,0.045,0.110,0.110,0.900,false,false,0.432,0.460,2.017,0.346,0.361,0.426,0.361
34,COMPLETE,0.269,102,8,0.240,6,0.900,0.210,9.000,0.045,0.110,0.110,0.900,false,false,0.201,0.439,1.838,0.161,0.185,0.242,0.185
34,COMPLETE,0.269,103,8,0.240,6,0.900,0.210,9.000,0.045,0.110,0.110,0.900,false,false,0.295,0.436,1.803,0.236,0.247,0.203,0.203
34,COMPLETE,0.269,104,8,0.240,6,0.900,0.210,9.000,0.045,0.110,0.110,0.900,false,false,0.173,0.458,2.028,0.138,0.148,0.156,0.148
35,COMPLETE,2.804,100,7,0.350,7,1.200,0.440,5.000,0.040,0.100,0.050,0.900,false,false,0.584,0.575,8.445,0.831,0.296,0.292,0.292
35,COMPLETE,2.804,101,7,0.350,7,1.200,0.440,5.000,0.040,0.100,0.050,0.900,false,false,0.967,0.626,9.311,0.774,0.835,0.821,0.821
35,COMPLETE,2.804,102,7,0.350,7,1.200,0.440,5.000,0.040,0.100,0.050,0.900,true,false,1.000,0.597,8.976,0.871,0.671,0.671,0.671
35,COMPLETE,2.804,103,7,0.350,7,1.200,0.440,5.000,0.040,0.100,0.050,0.900,false,false,0.469,0.611,7.890,0.375,0.236,0.255,0.236
35,COMPLETE,2.804,104,7,0.350,7,1.200,0.440,5.000,0.040,0.100,0.050,0.900,true,false,1.000,0.620,9.466,0.853,0.809,0.816,0.809
36,COMPLETE,4.967,100,7,0.350,6,1.200,0.440,5.000,0.030,0.100,0.040,0.900,true,false,1.000,0.560,8.992,0.883,0.690,0.627,0.627
36,COMPLETE,4.967,101,7,0.350,6,1.200,0.440,5.000,0.030,0.100,0.040,0.900,true,false,1.000,0.622,10.237,0.888,0.831,0.859,0.831
36,COMPLETE,4.967,102,7,0.350,6,1.200,0.440,5.000,0.030,0.100,0.040,0.900,false,false,0.835,0.564,9.091,0.894,0.473,0.418,0.418
36,COMPLETE,4.967,103,7,0.350,6,1.200,0.440,5.000,0.030,0.100,0.040,0.900,true,false,1.000,0.590,9.739,0.917,0.702,0.796,0.702
36,COMPLETE,4.967,104,7,0.350,6,1.200,0.440,5.000,0.030,0.100,0.040,0.900,true,false,1.000,0.590,9.516,0.858,0.631,0.714,0.631
37,COMPLETE,3.901,100,7,0.350,7,1.200,0.440,5.000,0.030,0.100,0.050,0.800,false,false,0.509,0.590,8.835,0.652,0.364,0.254,0.254
37,COMPLETE,3.901,101,7,0.350,7,1.200,0.440,5.000,0.030,0.100,0.050,0.800,true,false,1.000,0.625,10.116,0.832,0.744,0.684,0.684
37,COMPLETE,3.901,102,7,0.350,7,1.200,0.440,5.000,0.030,0.100,0.050,0.800,true,false,1.000,0.645,10.752,0.904,0.879,0.848,0.848
37,COMPLETE,3.901,103,7,0.350,7,1.200,0.440,5.000,0.030,0.100,0.050,0.800,false,false,0.994,0.613,9.920,0.795,0.846,0.775,0.775
37,COMPLETE,3.901,104,7,0.350,7,1.200,0.440,5.000,0.030,0.100,0.050,0.800,true,false,1.000,0.633,10.517,0.878,0.805,0.836,0.805
38,COMPLETE,3.941,100,7,0.350,9,1.200,0.450,5.000,0.030,0.060,0.050,0.800,false,false,0.891,0.595,9.839,0.897,0.446,0.463,0.446
38,COMPLETE,3.941,101,7,0.350,9,1.200,0.450,5.000,0.030,0.060,0.050,0.800,true,false,1.000,0.708,12.190,0.910,0.918,0.919,0.918
38,COMPLETE,3.941,102,7,0.350,9,1.200,0.450,5.000,0.030,0.060,0.050,0.800,true,false,1.000,0.697,11.914,0.891,0.850,0.925,0.850
38,COMPLETE,3.941,103,7,0.350,9,1.200,0.450,5.000,0.030,0.060,0.050,0.800,true,false,1.000,0.673,11.192,0.841,0.847,0.820,0.820
38,COMPLETE,3.941,104,7,0.350,9,1.200,0.450,5.000,0.030,0.060,0.050,0.800,false,false,0.812,0.615,10.206,0.885,0.413,0.406,0.406
39,COMPLETE,3.823,100,7,0.390,9,1.200,0.420,5.000,0.030,0.060,0.040,0.800,true,false,1.000,0.677,11.558,0.934,0.811,0.797,0.797
39,COMPLETE,3.823,101,7,0.390,9,1.200,0.420,5.000,0.030,0.060,0.040,0.800,true,false,1.000,0.682,11.469,0.911,0.608,0.580,0.580
39,COMPLETE,3.823,102,7,0.390,9,1.200,0.420,5.000,0.030,0.060,0.040,0.800,true,false,1.000,0.712,12.008,0.883,0.777,0.814,0.777
39,COMPLETE,3.823,103,7,0.390,9,1.200,0.420,5.000,0.030,0.060,0.040,0.800,false,false,0.250,0.726,10.243,0.343,0.186,0.125,0.125
39,COMPLETE,3.823,104,7,0.390,9,1.200,0.420,5.000,0.030,0.060,0.040,0.800,false,false,0.866,0.659,10.248,0.693,0.685,0.557,0.557
40,COMPLETE,3.843,100,7,0.390,9,1.200,0.420,5.000,0.030,0.100,0.040,0.800,true,false,1.000,0.675,11.563,0.930,0.827,0.862,0.827
40,COMPLETE,3.843,101,7,0.390,9,1.200,0.420,5.000,0.030,0.100,0.040,0.800,false,false,0.712,0.647,10.229,0.740,0.356,0.474,0.356
40,COMPLETE,3.843,102,7,0.390,9,1.200,0.420,5.000,0.030,0.100,0.040,0.800,true,false,1.000,0.664,11.118,0.901,0.764,0.727,0.727
40,COMPLETE,3.843,103,7,0.390,9,1.200,0.420,5.000,0.030,0.100,0.040,0.800,false,false,0.504,0.689,9.805,0.403,0.263,0.432,0.263
40,COMPLETE,3.843,104,7,0.390,9,1.200,0.420,5.000,0.030,0.100,0.040,0.800,true,false,1.000,0.643,10.675,0.905,0.635,0.703,0.635
