condition,sweep,food_site_count,food_site_radius,food_site_capacity,food_value,seed,generation,directional_bias,receiver_attention,search_limit,comb_tilt,success_rate,payoff,follower_success_rate,matched_searcher_success_rate,recruitment_advantage,dance_follow_share
hard,anchor,1,37.500000,6,1.000000,412,52,0.331844,0.405867,1017.233626,0.000000,0.001222,0.001000,0.044444,0.010417,0.034028,0.189873
hard,anchor,1,37.500000,6,1.000000,412,53,0.352906,0.430999,888.782078,0.000000,0.000889,0.001000,0.025000,0.000000,0.025000,0.248447
hard,anchor,1,37.500000,6,1.000000,412,54,0.365669,0.433015,940.728919,0.000000,0.001000,0.001000,0.048780,0.006494,0.042287,0.210256
hard,anchor,1,37.500000,6,1.000000,412,55,0.402842,0.426349,1010.774829,0.000000,0.000806,0.001000,0.066667,0.010101,0.056566,0.232558
hard,anchor,1,37.500000,6,1.000000,412,56,0.389651,0.455547,886.682988,0.000000,0.001139,0.001000,0.023256,0.013793,0.009463,0.372294
hard,anchor,1,37.500000,6,1.000000,412,57,0.395901,0.408072,1019.706231,0.000000,0.001111,0.001000,0.095238,0.007692,0.087546,0.244186
hard,anchor,1,37.500000,6,1.000000,412,58,0.417814,0.404738,1250.730446,0.000000,0.001250,0.001000,0.011905,0.016260,-0.004355,0.405797
hard,anchor,1,37.500000,6,1.000000,412,59,0.359287,0.472810,1338.430753,0.000000,0.001111,0.001000,0.029412,0.000000,0.029412,0.369565
hard,anchor,1,37.500000,6,1.000000,412,60,0.365487,0.382403,1847.215164,0.000000,0.001722,0.001000,0.021053,0.004739,0.016313,0.310458
hard,anchor,1,37.500000,6,1.000000,400,0,0.074741,0.125582,1696.012055,0.000000,0.001917,0.001000,0.017241,0.022152,-0.004911,0.155080
hard,anchor,1,37.500000,6,1.000000,400,1,0.066392,0.125503,1576.150621,0.000000,0.001500,0.001000,0.081081,0.004098,0.076983,0.131673
hard,anchor,1,37.500000,6,1.000000,400,2,0.088502,0.158422,1450.442282,0.000000,0.001528,0.001000,0.050000,0.009174,0.040826,0.155039
hard,anchor,1,37.500000,6,1.000000,400,3,0.108701,0.136129,1460.905604,0.000000,0.001361,0.001000,0.022222,0.019417,0.002805,0.179283
hard,anchor,1,37.500000,6,1.000000,400,4,0.112496,0.140186,1428.427538,0.000000,0.001556,0.001000,0.000000,0.009132,-0.009132,0.185874
hard,anchor,1,37.500000,6,1.000000,400,5,0.090973,0.129130,1282.734295,0.000000,0.001194,0.001000,0.107143,0.018405,0.088738,0.146597
hard,anchor,1,37.500000,6,1.000000,400,6,0.086681,0.111785,1250.658602,0.000000,0.001500,0.001000,0.066667,0.013216,0.053451,0.116732
hard,anchor,1,37.500000,6,1.000000,400,7,0.099475,0.123382,1037.118814,0.000000,0.000944,0.001000,0.047619,0.000000,0.047619,0.132075
hard,anchor,1,37.500000,6,1.000000,400,8,0.105722,0.109597,864.140713,0.000000,0.000806,0.001000,0.000000,0.019608,-0.019608,0.115607
hard,anchor,1,37.500000,6,1.000000,400,9,0.116958,0.140430,798.577481,0.000000,0.000722,0.001000,0.000000,0.007937,-0.007937,0.112676
hard,anchor,1,37.500000,6,1.000000,400,10,0.101160,0.149268,750.662230,0.000000,0.000694,0.001000,0.000000,0.000000,0.000000,0.191304
hard,anchor,1,37.500000,6,1.000000,400,11,0.114787,0.123815,825.199513,0.000000,0.001028,0.001000,0.000000,0.023529,-0.023529,0.060773
hard,anchor,1,37.500000,6,1.000000,400,12,0.122780,0.130841,731.187588,0.000000,0.000472,0.001000,0.066667,0.000000,0.066667,0.154639
hard,anchor,1,37.500000,6,1.000000,400,13,0.129804,0.099961,772.909740,0.000000,0.000778,0.001000,0.035714,0.008772,0.026942,0.197183
hard,anchor,1,37.500000,6,1.000000,400,14,0.147508,0.116369,791.958615,0.000000,0.000806,0.001000,0.035714,0.007246,0.028468,0.168675
hard,anchor,1,37.500000,6,1.000000,400,15,0.130378,0.108808,665.238388,0.000000,0.000528,0.001000,0.000000,0.013514,-0.013514,0.129412
hard,anchor,1,37.500000,6,1.000000,400,16,0.173554,0.118341,657.473654,0.000000,0.000472,0.001000,0.000000,0.012500,-0.012500,0.130435
hard,anchor,1,37.500000,6,1.000000,400,17,0.228376,0.133628,644.229990,0.000000,0.000333,0.001000,0.000000,0.000000,0.000000,0.104478
hard,anchor,1,37.500000,6,1.000000,400,18,0.231243,0.129451,701.863346,0.000000,0.000694,0.001000,0.000000,0.000000,0.000000,0.077586
hard,anchor,1,37.500000,6,1.000000,400,19,0.245293,0.145320,768.374150,0.000000,0.000944,0.001000,0.000000,0.013514,-0.013514,0.186813
hard,anchor,1,37.500000,6,1.000000,400,20,0.276865,0.130884,796.819244,0.000000,0.000750,0.001000,0.066667,0.016807,0.049860,0.111940
hard,anchor,1,37.500000,6,1.000000,400,21,0.276992,0.154884,871.348751,0.000000,0.000889,0.001000,0.088235,0.007752,0.080483,0.208589
hard,anchor,1,37.500000,6,1.000000,400,22,0.291971,0.184958,935.217813,0.000000,0.001250,0.001000,0.028169,0.015625,0.012544,0.269962
hard,anchor,1,37.500000,6,1.000000,400,23,0.286874,0.177100,1003.196949,0.000000,0.001417,0.001000,0.050000,0.033113,0.016887,0.284360
hard,anchor,1,37.500000,6,1.000000,400,24,0.312923,0.171669,933.226055,0.000000,0.000944,0.001000,0.023810,0.007143,0.016667,0.230769
hard,anchor,1,37.500000,6,1.000000,400,25,0.301621,0.192307,805.205280,0.000000,0.000944,0.001000,0.000000,0.013333,-0.013333,0.189189
hard,anchor,1,37.500000,6,1.000000,400,26,0.303798,0.197221,881.950360,0.000000,0.000889,0.001000,0.053571,0.000000,0.053571,0.287179
hard,anchor,1,37.500000,6,1.000000,400,27,0.317021,0.190790,884.591041,0.000000,0.000722,0.001000,0.000000,0.016260,-0.016260,0.245399
hard,anchor,1,37.500000,6,1.000000,400,28,0.329629,0.176223,1043.631226,0.000000,0.000917,0.001000,0.046512,0.020000,0.026512,0.222798
hard,anchor,1,37.500000,6,1.000000,400,29,0.306206,0.193189,1166.207219,0.000000,0.001194,0.001000,0.073171,0.005525,0.067646,0.184685
hard,anchor,1,37.500000,6,1.000000,400,30,0.303414,0.236335,1282.556693,0.000000,0.001417,0.001000,0.014085,0.012295,0.001789,0.225397
hard,anchor,1,37.500000,6,1.000000,400,31,0.287260,0.226695,1318.039303,0.000000,0.001472,0.001000,0.015873,0.004695,0.011178,0.228261
hard,anchor,1,37.500000,6,1.000000,400,32,0.291743,0.248200,1431.819437,0.000000,0.001278,0.001000,0.015873,0.019108,-0.003235,0.286364
hard,anchor,1,37.500000,6,1.000000,400,33,0.309795,0.238852,1503.824689,0.000000,0.001167,0.001000,0.018182,0.000000,0.018182,0.268293
hard,anchor,1,37.500000,6,1.000000,400,34,0.315464,0.270755,1476.522156,0.000000,0.001528,0.001000,0.060241,0.010101,0.050140,0.295374
hard,anchor,1,37.500000,6,1.000000,400,35,0.333421,0.240088,1606.679686,0.000000,0.002417,0.001000,0.066667,0.022801,0.043865,0.281030
hard,anchor,1,37.500000,6,1.000000,400,36,0.332947,0.231144,1639.736850,0.000000,0.001806,0.001000,0.040816,0.016598,0.024219,0.289086
hard,anchor,1,37.500000,6,1.000000,400,37,0.301370,0.258730,1685.110559,0.000000,0.001417,0.001000,0.027778,0.009950,0.017828,0.263736
hard,anchor,1,37.500000,6,1.000000,400,38,0.334983,0.295215,1825.363315,0.000000,0.001750,0.001000,0.054054,0.008850,0.045204,0.329377
hard,anchor,1,37.500000,6,1.000000,400,39,0.328546,0.310357,1770.130691,0.000000,0.001806,0.001000,0.047170,0.028436,0.018734,0.334385
hard,anchor,1,37.500000,6,1.000000,400,40,0.302436,0.282503,1624.185201,0.000000,0.001944,0.001000,0.036496,0.018957,0.017539,0.393678
hard,anchor,1,37.500000,6,1.000000,400,41,0.277078,0.246515,1392.509617,0.000000,0.001806,0.001000,0.047619,0.004484,0.043135,0.320122
hard,anchor,1,37.500000,6,1.000000,400,42,0.319001,0.244246,1507.008695,0.000000,0.001639,0.001000,0.082353,0.000000,0.082353,0.318352
hard,anchor,1,37.500000,6,1.000000,400,43,0.328471,0.245741,1467.843068,0.000000,0.001556,0.001000,0.010870,0.005848,0.005022,0.349810
hard,anchor,1,37.500000,6,1.000000,400,44,0.381688,0.239753,1517.784131,0.000000,0.001472,0.001000,0.053191,0.000000,0.053191,0.340580
hard,anchor,1,37.500000,6,1.000000,400,45,0.431423,0.263683,1604.475457,0.000000,0.001611,0.001000,0.030928,0.008811,0.022117,0.299383
hard,anchor,1,37.500000,6,1.000000,400,46,0.341692,0.260200,1692.668719,0.000000,0.001806,0.001000,0.025316,0.000000,0.025316,0.250794
hard,anchor,1,37.500000,6,1.000000,400,47,0.324513,0.227809,1711.280182,0.000000,0.001750,0.001000,0.065217,0.012552,0.052665,0.277946
hard,anchor,1,37.500000,6,1.000000,400,48,0.346950,0.249042,1607.712517,0.000000,0.002167,0.001000,0.032895,0.000000,0.032895,0.373464
