candidate,seed,stable,collapsed,score,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_dance_propensity
baseline,273,True,False,2.0,1.0,0.29283333333333333,4.218194588972006,0.844187845109259,0.685124316802067,0.7644403336048208,0.685124316802067,0.6626927503977876
baseline,274,True,False,2.0,1.0,0.3055833333333334,4.379994141867917,0.8032340823614309,0.8337514116432699,0.7765780317892437,0.7765780317892437,0.439784146192827
baseline,275,True,False,2.0,1.0,0.3428333333333333,5.14181250378316,0.8944710602562899,0.8034389514911713,0.7356845703652206,0.7356845703652206,0.3799057139736615
baseline,276,False,False,0.9951306571018149,0.9951306571018149,0.32008333333333333,4.57964444985909,0.796104525681452,0.7843719811646046,0.5525817563233076,0.5525817563233076,0.4469360741750236
baseline,277,True,False,2.0,1.0,0.34494444444444444,5.175352148018954,0.8967420284533084,0.866073497645299,0.8326250091596671,0.8326250091596671,0.6578353261440835
baseline,278,True,False,2.0,1.0,0.33116666666666666,4.920327909146065,0.870194624904233,0.8313273556991198,0.6313999135754723,0.6313999135754723,0.43935530471658374
baseline,279,True,False,2.0,1.0,0.32652777777777775,4.7120784106560185,0.8150462237379404,0.854663809158529,0.8559806554933637,0.854663809158529,0.7949618199683631
baseline,280,True,False,2.0,1.0,0.34875,5.200196873274613,0.8814469163222763,0.8733088105760644,0.6848526791600335,0.6848526791600335,0.49290103955143416
baseline,281,False,False,0.9822360545115734,0.9822360545115734,0.31827777777777777,4.563096334541947,0.7857888436092587,0.8324083052392951,0.8067319205403093,0.8067319205403093,0.6625812242151932
baseline,282,True,False,2.0,1.0,0.33625,4.901699542641948,0.8318579323607841,0.8013047215612856,0.7022862429093133,0.7022862429093133,0.7407389775935265
baseline,283,True,False,2.0,1.0,0.3307777777777778,4.867093578666252,0.8576145103681845,0.7889967619470094,0.6575778954446392,0.6575778954446392,0.3977233000248541
baseline,284,True,False,2.0,1.0,0.3293055555555556,4.744615604494969,0.8105425868853656,0.7812596242045741,0.7131608368403071,0.7131608368403071,0.5804445338394698
baseline,285,True,False,2.0,1.0,0.3256111111111111,4.806797151749374,0.8791741000909745,0.8517328315801703,0.8230087805520715,0.8230087805520715,0.7399068209620261
baseline,286,True,False,2.0,1.0,0.3228611111111111,4.695986722996273,0.8249559156261663,0.8354929529024077,0.8787181164002719,0.8354929529024077,0.7794715765810231
baseline,287,True,False,2.0,1.0,0.3388055555555555,5.064574122062529,0.8721231595430354,0.8397502445420411,0.7871455925995973,0.7871455925995973,0.7392481247827828
baseline,288,True,False,2.0,1.0,0.3063888888888889,4.498582794920744,0.8628559440749775,0.7347531727870786,0.7503100621143264,0.7347531727870786,0.44960353920840296
baseline,289,True,False,2.0,1.0,0.3336111111111111,4.848808522254475,0.8204575067198819,0.8575688566859591,0.7400094560956544,0.7400094560956544,0.45349567735781193
