number,state,value,food_site_count,food_site_radius,food_site_radius_log_sd,food_site_capacity,food_value,vertical_comb_benefit,food_site_min_distance,food_site_max_distance,foray_shape,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,mean_final_dance_propensity,elapsed_seconds
598,COMPLETE,-1.768,4,270.000,0.6,5,,0.600,750.0,7250.000,2.0,4.500000e-05,0.100,1.000,0,10,2,0.232,0.117,0.263,0.186,0.200,0.696,609.157
599,COMPLETE,-0.832,4,270.000,0.6,2,,0.160,750.0,7250.000,2.0,4.500000e-05,0.120,1.000,0,10,1,0.168,0.111,0.258,0.135,0.273,0.615,569.140
600,COMPLETE,-0.791,4,270.000,0.6,2,,0.220,750.0,6750.000,2.0,4.500000e-05,0.120,1.000,0,10,1,0.209,0.123,0.272,0.167,0.220,0.699,601.167
601,COMPLETE,0.245,4,270.000,0.6,5,,0.600,750.0,6750.000,2.0,4.500000e-05,0.120,1.000,0,10,0,0.245,0.126,0.340,0.208,0.199,0.648,642.049
602,COMPLETE,0.195,4,270.000,0.6,2,,0.160,750.0,6750.000,2.0,4.500000e-05,0.120,1.000,0,10,0,0.195,0.123,0.313,0.156,0.240,0.707,607.943
603,COMPLETE,0.265,4,270.000,0.6,5,,0.160,750.0,7250.000,2.0,4.500000e-05,0.120,1.000,1,10,1,0.265,0.113,0.246,0.218,0.310,0.582,592.964
604,COMPLETE,0.186,5,270.000,0.6,5,,0.160,750.0,7250.000,2.0,4.500000e-05,0.100,1.000,0,10,0,0.186,0.156,0.515,0.148,0.233,0.612,739.509
605,COMPLETE,0.197,5,270.000,0.6,2,,0.160,750.0,6750.000,2.0,4.500000e-05,0.120,1.000,0,10,0,0.197,0.172,0.577,0.158,0.235,0.605,769.713
606,COMPLETE,-4.704,4,255.000,0.6,2,,0.600,750.0,7250.000,2.0,4.500000e-05,0.120,1.000,1,10,6,0.296,0.092,0.182,0.258,0.284,0.658,544.633
607,COMPLETE,-1.832,4,255.000,0.6,5,,0.160,750.0,7250.000,2.0,4.500000e-05,0.120,1.000,0,10,2,0.168,0.100,0.200,0.134,0.265,0.602,584.969
608,COMPLETE,2.379,5,270.000,0.6,2,,0.600,750.0,6750.000,2.0,4.500000e-05,0.120,1.000,2,10,0,0.379,0.166,0.610,0.318,0.366,0.638,743.692
609,COMPLETE,-0.831,4,270.000,0.6,2,,0.600,750.0,6750.000,2.0,5.000000e-05,0.100,1.000,0,10,1,0.169,0.114,0.282,0.135,0.179,0.664,602.254
610,COMPLETE,-1.768,4,270.000,0.6,5,,0.600,750.0,7250.000,2.0,4.500000e-05,0.100,1.000,0,10,2,0.232,0.117,0.263,0.186,0.200,0.696,596.104
611,COMPLETE,1.320,5,270.000,0.6,5,,0.600,750.0,7250.000,2.0,4.500000e-05,0.120,1.000,1,10,0,0.320,0.152,0.504,0.267,0.283,0.680,739.912
612,COMPLETE,0.270,4,270.000,0.6,5,,0.600,750.0,7250.000,2.0,5.000000e-05,0.120,1.000,1,10,1,0.270,0.104,0.217,0.220,0.256,0.677,573.604
613,COMPLETE,-4.642,3,255.000,0.6,5,,0.580,750.0,7250.000,2.0,4.000000e-05,0.120,1.000,2,10,7,0.358,0.072,0.112,0.305,0.315,0.732,449.754
614,COMPLETE,-4.810,4,255.000,0.6,5,,0.600,750.0,7250.000,2.0,4.500000e-05,0.120,1.000,0,10,5,0.190,0.103,0.181,0.152,0.228,0.651,568.705
615,COMPLETE,-5.648,4,255.000,0.6,5,,0.600,750.0,7250.000,2.0,5.000000e-05,0.100,1.000,2,10,8,0.352,0.090,0.165,0.296,0.336,0.711,529.857
616,COMPLETE,-2.714,4,255.000,0.6,5,,0.600,750.0,7250.000,2.0,4.500000e-05,0.100,1.000,1,10,4,0.286,0.108,0.230,0.240,0.260,0.749,572.195
617,COMPLETE,2.420,4,270.000,0.6,5,,0.600,750.0,6750.000,2.0,4.500000e-05,0.100,1.000,2,10,0,0.420,0.128,0.386,0.351,0.396,0.580,622.772
618,COMPLETE,-1.798,4,255.000,0.6,5,,0.600,750.0,6750.000,2.0,4.500000e-05,0.100,1.000,0,10,2,0.202,0.118,0.282,0.161,0.210,0.645,603.964
619,COMPLETE,-2.714,4,255.000,0.6,5,,0.600,750.0,7250.000,2.0,4.500000e-05,0.100,1.000,1,10,4,0.286,0.108,0.230,0.240,0.260,0.749,570.462
620,COMPLETE,-9.785,3,255.000,0.6,4,,0.600,750.0,6500.000,2.0,4.500000e-05,0.100,1.000,0,10,10,0.215,0.083,0.134,0.173,0.236,0.679,447.946
621,COMPLETE,-1.798,4,255.000,0.6,5,,0.600,750.0,6750.000,2.0,4.500000e-05,0.100,1.000,0,10,2,0.202,0.118,0.282,0.161,0.210,0.645,606.385
622,COMPLETE,-0.829,4,255.000,0.6,5,,0.160,750.0,6750.000,2.0,4.500000e-05,0.100,1.000,0,10,1,0.171,0.118,0.264,0.137,0.209,0.663,609.559
623,COMPLETE,-4.831,4,255.000,0.6,5,,0.200,750.0,6750.000,2.0,5.000000e-05,0.100,1.000,0,10,5,0.169,0.109,0.214,0.136,0.183,0.654,581.009
624,COMPLETE,-0.829,4,255.000,0.6,5,,0.160,750.0,6750.000,2.0,4.500000e-05,0.100,1.000,0,10,1,0.171,0.118,0.264,0.137,0.209,0.663,612.151
625,COMPLETE,-0.816,4,255.000,0.6,5,,0.200,750.0,6750.000,2.0,4.500000e-05,0.100,1.000,0,10,1,0.184,0.112,0.276,0.147,0.204,0.591,620.804
626,COMPLETE,-2.714,4,255.000,0.6,5,,0.600,750.0,7250.000,2.0,4.500000e-05,0.100,1.000,1,10,4,0.286,0.108,0.230,0.240,0.260,0.749,560.137
627,COMPLETE,-0.808,4,270.000,0.6,5,,0.600,750.0,7250.000,2.0,4.500000e-05,0.120,1.000,0,10,1,0.192,0.106,0.243,0.153,0.200,0.627,587.556
628,COMPLETE,-1.768,4,270.000,0.6,5,,0.600,750.0,7250.000,2.0,4.500000e-05,0.100,1.000,0,10,2,0.232,0.117,0.263,0.186,0.200,0.696,594.086
629,COMPLETE,-1.798,4,255.000,0.6,5,,0.600,750.0,6750.000,2.0,4.500000e-05,0.100,1.000,0,10,2,0.202,0.118,0.282,0.161,0.210,0.645,617.966
630,COMPLETE,-0.808,4,270.000,0.6,5,,0.600,750.0,7250.000,2.0,4.500000e-05,0.120,1.000,0,10,1,0.192,0.106,0.243,0.153,0.200,0.627,588.800
631,COMPLETE,11.000,7,270.000,0.6,5,,0.600,750.0,7250.000,2.0,4.000000e-05,0.120,1.000,10,10,0,1.000,0.228,1.660,0.860,0.849,0.566,975.058
632,COMPLETE,1.267,5,270.000,0.6,5,,0.240,750.0,7250.000,2.0,4.500000e-05,0.100,1.000,1,10,0,0.267,0.152,0.523,0.220,0.303,0.639,746.234
633,COMPLETE,-8.798,4,270.000,0.6,5,,0.240,750.0,7250.000,2.0,5.000000e-05,0.100,1.000,0,10,9,0.202,0.105,0.221,0.168,0.187,0.682,564.853
634,COMPLETE,-8.708,3,270.000,0.6,5,,0.240,750.0,7250.000,2.0,4.500000e-05,0.100,1.000,1,10,10,0.292,0.069,0.105,0.239,0.349,0.715,417.700
635,COMPLETE,0.372,4,270.000,0.6,5,,0.540,750.0,7250.000,2.0,4.500000e-05,0.120,1.000,2,10,2,0.372,0.111,0.283,0.309,0.386,0.639,583.533
636,COMPLETE,-0.808,4,270.000,0.6,5,,0.600,750.0,7250.000,2.0,4.500000e-05,0.120,1.000,0,10,1,0.192,0.106,0.243,0.153,0.200,0.627,590.872
637,COMPLETE,0.281,4,270.000,0.6,5,,0.240,750.0,7250.000,2.0,4.500000e-05,0.120,1.000,1,10,1,0.281,0.110,0.249,0.234,0.298,0.641,589.585
638,COMPLETE,-0.832,4,270.000,0.6,7,,0.240,750.0,7250.000,2.0,4.500000e-05,0.120,1.000,0,10,1,0.168,0.114,0.247,0.134,0.204,0.654,588.818
639,COMPLETE,-9.517,2,270.000,0.6,7,,0.240,750.0,7250.000,2.0,4.500000e-05,0.120,1.000,0,10,10,0.483,0.015,0.022,0.426,0.350,0.554,251.869
640,COMPLETE,-3.789,3,270.000,0.6,5,,0.240,750.0,6750.000,2.0,4.000000e-05,0.120,1.000,0,10,4,0.211,0.089,0.173,0.170,0.216,0.652,493.429
641,COMPLETE,-5.223,2,255.000,0.6,5,,0.600,750.0,6750.000,2.0,4.000000e-05,0.120,1.000,4,10,10,0.777,0.028,0.048,0.642,0.625,0.531,285.669
642,COMPLETE,-6.835,3,270.000,0.6,5,,0.240,750.0,7250.000,2.0,4.000000e-05,0.120,1.000,0,10,7,0.165,0.076,0.148,0.132,0.275,0.683,467.269
643,COMPLETE,-8.340,2,270.000,0.6,7,,0.600,750.0,6750.000,2.0,4.500000e-05,0.120,1.000,1,10,10,0.660,0.016,0.043,0.670,0.503,0.514,272.094
644,COMPLETE,2.366,7,270.000,0.6,5,,0.240,750.0,6500.000,2.0,4.500000e-05,0.120,1.000,2,10,0,0.366,0.260,1.407,0.300,0.359,0.604,1046.233
645,COMPLETE,0.215,2,270.000,0.6,5,,0.240,750.0,6750.000,2.0,1.500000e-05,0.120,1.000,0,10,0,0.215,0.086,0.390,0.172,0.235,0.639,487.334
646,COMPLETE,0.214,2,270.000,0.6,5,,0.240,750.0,3000.000,2.0,4.500000e-05,0.120,1.000,0,10,0,0.214,0.153,0.828,0.172,0.243,0.636,622.550
647,COMPLETE,6.722,2,270.000,0.6,7,,0.600,750.0,6500.000,2.0,1.500000e-05,0.130,1.000,6,10,0,0.722,0.093,0.609,0.618,0.611,0.650,491.888
648,COMPLETE,0.271,7,270.000,0.6,7,,0.240,750.0,6500.000,2.0,4.500000e-05,0.120,1.000,0,10,0,0.271,0.259,1.362,0.217,0.232,0.717,1041.807
649,COMPLETE,-5.279,2,270.000,0.6,7,,0.240,750.0,6500.000,2.0,4.500000e-05,0.120,1.000,4,10,10,0.721,0.020,0.034,0.703,0.590,0.559,267.476
650,COMPLETE,-4.234,2,270.000,0.6,5,,0.600,750.0,6500.000,2.0,4.500000e-05,0.120,1.000,5,10,10,0.766,0.029,0.052,0.695,0.622,0.532,280.448
651,COMPLETE,4.768,7,270.000,0.6,5,,0.220,750.0,6500.000,2.0,1.500000e-05,0.110,1.000,4,10,0,0.768,0.257,2.707,0.638,0.592,0.595,1002.699
