number,state,value,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,elapsed_seconds
87,COMPLETE,6.000,7,0.340,7,0.900,0.440,5.000,0.035,0.090,0.080,0.800,5,5,0,1.000,0.615,6.613,0.862,0.750,819.702
88,COMPLETE,4.986,7,0.390,7,1.200,0.450,5.000,0.035,0.100,0.080,0.700,4,5,0,0.986,0.639,10.319,0.844,0.729,823.527
89,COMPLETE,3.935,7,0.340,7,1.200,0.450,5.000,0.040,0.100,0.070,0.500,3,5,0,0.935,0.587,8.713,0.809,0.642,803.430
90,COMPLETE,4.997,7,0.340,7,1.200,0.450,5.500,0.040,0.100,0.090,0.500,4,5,0,0.997,0.594,8.829,0.814,0.761,795.541
91,COMPLETE,4.981,7,0.340,7,0.800,0.450,5.500,0.040,0.100,0.090,0.500,4,5,0,0.981,0.582,4.823,0.823,0.725,808.239
92,COMPLETE,4.995,6,0.340,7,0.800,0.420,5.500,0.040,0.110,0.090,0.800,4,5,0,0.995,0.548,4.180,0.820,0.774,781.955
93,COMPLETE,4.995,6,0.340,7,0.800,0.420,5.500,0.040,0.110,0.090,0.800,4,5,0,0.995,0.548,4.180,0.820,0.774,780.879
94,COMPLETE,6.000,7,0.340,7,0.800,0.420,5.000,0.035,0.090,0.080,0.800,5,5,0,1.000,0.601,5.454,0.856,0.800,817.010
95,COMPLETE,6.000,7,0.360,6,0.900,0.440,5.000,0.035,0.090,0.080,0.800,5,5,0,1.000,0.602,6.491,0.845,0.777,807.893
96,COMPLETE,6.000,7,0.360,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,5,5,0,1.000,0.647,7.261,0.850,0.777,835.683
97,COMPLETE,6.000,7,0.370,13,0.900,0.440,5.000,0.035,0.090,0.080,0.900,5,5,0,1.000,0.676,7.745,0.844,0.790,849.683
98,COMPLETE,6.000,7,0.360,6,0.800,0.440,5.000,0.035,0.090,0.080,0.800,5,5,0,1.000,0.606,5.589,0.883,0.752,811.625
99,COMPLETE,4.999,7,0.350,6,0.800,0.390,5.000,0.030,0.090,0.080,0.800,4,5,0,0.999,0.598,5.528,0.823,0.761,814.788
100,COMPLETE,4.897,7,0.370,6,0.800,0.390,5.000,0.030,0.090,0.080,0.800,4,5,0,0.897,0.601,5.619,0.832,0.615,805.676
101,COMPLETE,3.950,7,0.350,6,0.800,0.390,5.000,0.030,0.080,0.070,0.800,3,5,0,0.950,0.598,5.484,0.802,0.645,796.548
102,COMPLETE,3.967,7,0.350,7,0.800,0.390,5.000,0.030,0.080,0.100,0.800,3,5,0,0.967,0.601,5.549,0.795,0.738,812.395
103,COMPLETE,4.988,7,0.350,7,1.100,0.400,5.500,0.030,0.080,0.070,0.800,4,5,0,0.988,0.618,8.690,0.824,0.812,809.860
104,COMPLETE,3.968,7,0.350,6,0.900,0.410,5.000,0.035,0.080,0.070,0.800,3,5,0,0.968,0.590,6.107,0.802,0.713,784.072
105,COMPLETE,4.995,7,0.350,7,0.900,0.400,5.000,0.035,0.100,0.080,0.800,4,5,0,0.995,0.597,6.296,0.846,0.731,801.366
106,COMPLETE,6.000,7,0.360,7,0.900,0.410,5.000,0.035,0.100,0.080,0.800,5,5,0,1.000,0.617,6.699,0.870,0.741,816.374
107,COMPLETE,4.986,7,0.360,7,1.100,0.420,5.500,0.035,0.100,0.080,0.800,4,5,0,0.986,0.613,8.379,0.822,0.762,803.351
108,COMPLETE,4.989,7,0.360,7,0.900,0.420,5.000,0.035,0.100,0.080,0.800,4,5,0,0.989,0.606,6.486,0.820,0.735,813.212
109,COMPLETE,6.000,7,0.360,8,1.100,0.420,5.500,0.035,0.090,0.080,0.800,5,5,0,1.000,0.640,8.977,0.850,0.801,824.718
110,COMPLETE,1.483,6,0.390,8,1.100,0.420,5.500,0.025,0.090,0.040,0.700,1,5,0,0.483,0.631,8.170,0.408,0.365,806.113
111,COMPLETE,1.551,6,0.330,8,1.200,0.430,5.000,0.025,0.090,0.040,0.700,1,5,0,0.551,0.538,7.838,0.539,0.333,776.292
112,COMPLETE,1.590,6,0.330,8,1.200,0.250,5.500,0.025,0.090,0.070,0.700,1,5,0,0.590,0.571,7.593,0.481,0.452,775.436
113,COMPLETE,3.981,6,0.330,6,1.200,0.430,5.000,0.025,0.090,0.070,0.700,3,5,0,0.981,0.539,8.561,0.813,0.767,760.571
114,COMPLETE,6.000,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,5,5,0,1.000,0.670,7.578,0.848,0.780,840.753
115,COMPLETE,6.000,7,0.340,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,5,5,0,1.000,0.641,7.062,0.844,0.783,815.115
116,COMPLETE,6.000,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,5,5,0,1.000,0.670,7.578,0.848,0.780,838.638
117,COMPLETE,6.000,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,5,5,0,1.000,0.670,7.578,0.848,0.780,842.220
118,COMPLETE,6.000,7,0.340,10,0.900,0.440,5.000,0.035,0.090,0.090,0.900,5,5,0,1.000,0.657,7.349,0.864,0.797,824.979
119,COMPLETE,1.407,7,0.200,11,0.900,0.450,5.000,0.035,0.090,0.090,0.900,1,5,0,0.407,0.457,3.328,0.347,0.328,751.679
120,COMPLETE,6.000,7,0.320,11,0.900,0.450,5.000,0.035,0.090,0.080,0.900,5,5,0,1.000,0.624,6.978,0.865,0.809,817.020
121,COMPLETE,3.992,7,0.320,6,0.900,0.430,5.000,0.040,0.090,0.090,0.900,3,5,0,0.992,0.552,5.318,0.808,0.737,784.782
122,COMPLETE,4.985,7,0.400,11,1.000,0.450,5.000,0.040,0.100,0.090,0.900,4,5,0,0.985,0.679,8.682,0.827,0.690,850.149
123,COMPLETE,3.762,7,0.320,11,1.000,0.430,5.000,0.040,0.100,0.050,0.900,3,5,0,0.762,0.618,6.970,0.670,0.563,823.298
124,COMPLETE,6.000,7,0.360,14,0.900,0.430,5.000,0.035,0.090,0.080,0.900,5,5,0,1.000,0.665,7.508,0.839,0.785,841.448
125,COMPLETE,4.990,7,0.360,13,1.000,0.430,5.000,0.035,0.090,0.080,0.900,4,5,0,0.990,0.661,8.561,0.851,0.784,822.916
126,COMPLETE,6.000,7,0.360,13,0.900,0.430,5.000,0.035,0.090,0.080,0.900,5,5,0,1.000,0.665,7.508,0.839,0.785,843.308
127,COMPLETE,1.593,7,0.360,12,0.900,0.320,5.000,0.035,0.090,0.080,0.900,1,5,0,0.593,0.674,6.523,0.550,0.450,988.977
128,COMPLETE,4.841,7,0.370,15,0.900,0.320,5.000,0.030,0.080,0.080,0.900,4,5,0,0.841,0.688,7.418,0.752,0.636,991.544
129,COMPLETE,3.864,7,0.370,13,0.900,0.320,5.000,0.030,0.080,0.100,0.400,3,5,0,0.864,0.663,7.068,0.727,0.676,986.370
130,COMPLETE,4.959,8,0.370,12,0.900,0.410,5.000,0.030,0.080,0.070,0.800,4,5,0,0.959,0.705,8.364,0.863,0.664,1012.825
131,COMPLETE,2.791,8,0.370,15,1.100,0.410,5.500,0.030,0.080,0.070,0.800,2,5,0,0.791,0.688,9.843,0.744,0.545,858.894
132,COMPLETE,2.847,8,0.370,7,1.100,0.410,5.500,0.030,0.080,0.070,0.400,2,5,0,0.847,0.649,9.377,0.806,0.545,834.366
133,COMPLETE,4.992,8,0.380,7,1.100,0.410,5.500,0.030,0.090,0.070,0.800,4,5,0,0.992,0.675,9.888,0.833,0.704,851.185
134,COMPLETE,6.000,7,0.380,6,0.800,0.440,5.000,0.035,0.090,0.080,0.800,5,5,0,1.000,0.624,5.842,0.857,0.699,813.147
135,COMPLETE,6.000,7,0.380,6,0.800,0.440,5.000,0.035,0.090,0.080,0.800,5,5,0,1.000,0.624,5.842,0.857,0.699,806.609
136,COMPLETE,6.000,7,0.380,6,0.800,0.440,5.000,0.035,0.090,0.080,0.800,5,5,0,1.000,0.624,5.842,0.857,0.699,809.729
137,COMPLETE,4.979,7,0.350,6,0.800,0.440,5.000,0.035,0.090,0.080,0.800,4,5,0,0.979,0.612,5.508,0.836,0.762,808.811
138,COMPLETE,4.999,7,0.350,16,0.800,0.440,5.000,0.035,0.090,0.080,0.800,4,5,0,0.999,0.661,6.337,0.841,0.785,832.788
139,COMPLETE,3.981,7,0.350,6,0.800,0.440,5.000,0.010,0.090,0.080,0.800,3,5,0,0.981,0.582,6.834,0.830,0.621,782.899
140,COMPLETE,2.818,7,0.350,6,0.800,0.420,5.000,0.035,0.100,0.050,0.900,2,5,0,0.818,0.589,4.999,0.713,0.540,771.993
141,COMPLETE,4.868,7,0.340,6,0.800,0.420,5.000,0.035,0.100,0.050,0.900,4,5,0,0.868,0.586,5.064,0.756,0.658,761.771
142,COMPLETE,6.000,7,0.340,6,1.200,0.420,5.000,0.040,0.100,0.050,0.900,5,5,0,1.000,0.587,8.748,0.879,0.715,658.760
143,COMPLETE,6.000,7,0.360,7,0.900,0.450,5.000,0.040,0.100,0.080,0.800,5,5,0,1.000,0.621,6.623,0.863,0.808,372.952
