initial_comb_tilt,vertical_comb_benefit,vertical_comb_modifier,seed,outcome,generation,average_directional_bias,average_receiver_attention,average_sender_transposition,average_receiver_transposition,average_min_transposition,average_transposition_gap,average_comb_tilt,average_comb_orientation,comb_orientation_alignment,average_search_limit,average_success,average_payoff
1.000,0.100,linear,101,flat_recovered_collapse,94,0.883,0.900,0.111,0.222,0.111,0.111,0.132,2.118,0.135,7.052,0.197,0.792
1.000,0.100,linear,101,flat_recovered_collapse,95,0.872,0.895,0.125,0.254,0.125,0.129,0.149,2.169,0.238,6.983,0.193,0.768
1.000,0.100,linear,101,flat_recovered_collapse,96,0.892,0.884,0.136,0.265,0.136,0.129,0.150,2.079,0.481,7.044,0.191,0.724
1.000,0.100,linear,101,flat_recovered_collapse,97,0.908,0.874,0.126,0.255,0.126,0.129,0.157,2.002,0.436,7.372,0.198,0.747
1.000,0.100,linear,101,flat_recovered_collapse,98,0.926,0.884,0.127,0.259,0.127,0.132,0.173,2.113,0.440,7.419,0.200,0.758
1.000,0.100,linear,101,flat_recovered_collapse,99,0.925,0.886,0.150,0.247,0.150,0.097,0.158,2.245,0.313,7.274,0.200,0.778
1.000,0.100,linear,101,flat_recovered_collapse,100,0.918,0.898,0.136,0.219,0.136,0.083,0.196,2.096,0.126,7.408,0.194,0.688
1.000,0.100,linear,101,flat_recovered_collapse,101,0.917,0.875,0.143,0.209,0.143,0.066,0.185,2.605,0.251,7.313,0.193,0.693
1.000,0.100,linear,101,flat_recovered_collapse,102,0.881,0.866,0.125,0.199,0.125,0.074,0.146,3.030,0.267,7.175,0.195,0.741
1.000,0.100,linear,101,flat_recovered_collapse,103,0.865,0.840,0.118,0.201,0.118,0.082,0.135,3.048,0.233,7.261,0.194,0.706
1.000,0.100,linear,101,flat_recovered_collapse,104,0.881,0.851,0.130,0.191,0.130,0.061,0.134,2.958,0.239,7.225,0.197,0.765
1.000,0.100,linear,101,flat_recovered_collapse,105,0.871,0.878,0.128,0.188,0.128,0.060,0.121,2.757,0.050,7.279,0.199,0.772
1.000,0.100,linear,101,flat_recovered_collapse,106,0.882,0.901,0.139,0.198,0.139,0.059,0.136,0.177,0.114,7.406,0.202,0.786
1.000,0.100,linear,101,flat_recovered_collapse,107,0.891,0.916,0.145,0.209,0.145,0.064,0.177,0.841,0.117,7.317,0.189,0.651
1.000,0.100,linear,101,flat_recovered_collapse,108,0.866,0.910,0.156,0.210,0.156,0.055,0.174,1.077,0.126,7.440,0.203,0.790
1.000,0.100,linear,101,flat_recovered_collapse,109,0.874,0.886,0.143,0.231,0.143,0.088,0.181,1.121,0.189,7.500,0.203,0.793
1.000,0.100,linear,101,flat_recovered_collapse,110,0.873,0.898,0.161,0.203,0.161,0.043,0.154,1.412,0.204,7.409,0.208,0.864
1.000,0.100,linear,101,flat_recovered_collapse,111,0.878,0.929,0.157,0.204,0.157,0.046,0.144,1.917,0.114,7.429,0.208,0.858
1.000,0.100,linear,101,flat_recovered_collapse,112,0.877,0.893,0.164,0.208,0.164,0.044,0.150,1.420,0.046,7.420,0.197,0.729
1.000,0.100,linear,101,flat_recovered_collapse,113,0.885,0.879,0.197,0.241,0.197,0.044,0.149,1.860,0.105,7.481,0.200,0.744
1.000,0.100,linear,101,flat_recovered_collapse,114,0.891,0.874,0.189,0.268,0.189,0.080,0.179,1.964,0.133,7.352,0.198,0.750
1.000,0.100,linear,101,flat_recovered_collapse,115,0.895,0.875,0.187,0.249,0.187,0.062,0.165,0.094,0.122,7.221,0.203,0.843
1.000,0.100,linear,101,flat_recovered_collapse,116,0.892,0.873,0.197,0.269,0.197,0.072,0.125,0.450,0.042,7.051,0.195,0.775
1.000,0.100,linear,101,flat_recovered_collapse,117,0.906,0.874,0.194,0.227,0.194,0.034,0.129,2.037,0.141,7.061,0.197,0.802
1.000,0.100,linear,101,flat_recovered_collapse,118,0.893,0.880,0.207,0.191,0.191,0.016,0.121,1.659,0.202,7.140,0.193,0.722
1.000,0.100,linear,101,flat_recovered_collapse,119,0.912,0.879,0.165,0.156,0.156,0.009,0.085,1.513,0.259,7.326,0.206,0.852
1.000,0.100,linear,101,flat_recovered_collapse,120,0.874,0.887,0.190,0.161,0.161,0.029,0.101,1.534,0.279,7.313,0.208,0.876
1.000,0.100,linear,102,flat,0,0.070,0.129,0.000,0.000,0.000,0.000,1.000,1.078,0.135,2.369,0.025,0.001
1.000,0.100,linear,102,flat,1,0.090,0.133,0.028,0.029,0.028,0.001,0.963,1.253,0.151,2.218,0.024,0.001
1.000,0.100,linear,102,flat,2,0.090,0.138,0.052,0.051,0.051,0.001,0.927,0.856,0.071,2.334,0.025,0.001
1.000,0.100,linear,102,flat,3,0.105,0.158,0.066,0.053,0.053,0.013,0.913,2.843,0.040,2.271,0.027,0.001
1.000,0.100,linear,102,flat,4,0.152,0.162,0.079,0.083,0.079,0.004,0.844,1.843,0.215,2.742,0.034,0.001
1.000,0.100,linear,102,flat,5,0.176,0.181,0.104,0.099,0.099,0.005,0.837,2.093,0.141,2.929,0.035,0.002
1.000,0.100,linear,102,flat,6,0.199,0.211,0.111,0.101,0.101,0.009,0.761,2.785,0.320,2.983,0.039,0.001
1.000,0.100,linear,102,flat,7,0.175,0.197,0.132,0.113,0.113,0.019,0.741,0.200,0.136,3.215,0.042,0.001
1.000,0.100,linear,102,flat,8,0.185,0.204,0.126,0.099,0.099,0.027,0.717,0.082,0.225,2.973,0.038,0.001
1.000,0.100,linear,102,flat,9,0.227,0.269,0.117,0.090,0.090,0.027,0.724,2.929,0.239,2.951,0.038,0.009
1.000,0.100,linear,102,flat,10,0.448,0.464,0.139,0.226,0.139,0.087,0.916,2.332,0.536,6.683,0.110,0.016
1.000,0.100,linear,102,flat,11,0.447,0.515,0.121,0.221,0.121,0.101,0.891,2.825,0.252,6.327,0.104,0.018
1.000,0.100,linear,102,flat,12,0.405,0.571,0.112,0.183,0.112,0.071,0.800,0.084,0.378,5.640,0.097,0.023
1.000,0.100,linear,102,flat,13,0.444,0.606,0.172,0.261,0.172,0.089,0.768,2.715,0.596,6.456,0.118,0.059
1.000,0.100,linear,102,flat,14,0.435,0.594,0.195,0.265,0.195,0.070,0.738,2.836,0.538,6.702,0.118,0.045
1.000,0.100,linear,102,flat,15,0.472,0.589,0.176,0.310,0.176,0.134,0.623,0.183,0.303,7.111,0.132,0.097
1.000,0.100,linear,102,flat,16,0.462,0.683,0.083,0.214,0.083,0.131,0.488,0.030,0.439,7.406,0.158,0.286
1.000,0.100,linear,102,flat,17,0.454,0.719,0.073,0.166,0.073,0.093,0.415,0.254,0.413,7.325,0.158,0.292
1.000,0.100,linear,102,flat,18,0.469,0.716,0.076,0.158,0.076,0.082,0.370,0.466,0.280,7.278,0.157,0.279
1.000,0.100,linear,102,flat,19,0.460,0.734,0.097,0.169,0.097,0.072,0.314,0.301,0.171,6.993,0.156,0.333
1.000,0.100,linear,102,flat,20,0.416,0.753,0.117,0.195,0.117,0.078,0.283,2.849,0.197,7.347,0.167,0.382
1.000,0.100,linear,102,flat,21,0.448,0.763,0.092,0.183,0.092,0.091,0.241,0.059,0.345,7.335,0.170,0.420
1.000,0.100,linear,102,flat,22,0.464,0.808,0.081,0.202,0.081,0.121,0.237,0.114,0.311,7.311,0.168,0.391
1.000,0.100,linear,102,flat,23,0.432,0.861,0.082,0.212,0.082,0.130,0.222,0.086,0.308,7.419,0.172,0.423
1.000,0.100,linear,102,flat,24,0.473,0.872,0.073,0.206,0.073,0.134,0.193,0.277,0.264,7.264,0.169,0.434
1.000,0.100,linear,102,flat,25,0.571,0.854,0.082,0.164,0.082,0.082,0.212,0.620,0.254,7.205,0.173,0.473
1.000,0.100,linear,102,flat,26,0.602,0.822,0.092,0.151,0.092,0.059,0.231,0.646,0.175,7.000,0.179,0.606
1.000,0.100,linear,102,flat,27,0.612,0.815,0.128,0.135,0.128,0.007,0.210,1.409,0.147,6.957,0.180,0.607
1.000,0.100,linear,102,flat,28,0.608,0.813,0.114,0.137,0.114,0.023,0.196,1.273,0.235,6.921,0.171,0.526
1.000,0.100,linear,102,flat,29,0.640,0.817,0.100,0.146,0.100,0.046,0.178,1.270,0.391,7.162,0.179,0.548
1.000,0.100,linear,102,flat,30,0.658,0.843,0.110,0.163,0.110,0.053,0.189,1.359,0.411,7.245,0.184,0.601
1.000,0.100,linear,102,flat,31,0.704,0.877,0.090,0.156,0.090,0.065,0.187,1.310,0.488,7.083,0.188,0.663
1.000,0.100,linear,102,flat,32,0.720,0.878,0.118,0.187,0.118,0.069,0.168,1.279,0.430,7.022,0.181,0.599
1.000,0.100,linear,102,flat,33,0.732,0.874,0.123,0.182,0.123,0.059,0.189,1.233,0.442,6.938,0.180,0.607
1.000,0.100,linear,102,flat,34,0.754,0.890,0.108,0.178,0.108,0.070,0.169,1.291,0.464,7.095,0.188,0.674
1.000,0.100,linear,102,flat,35,0.761,0.876,0.121,0.191,0.121,0.070,0.157,1.322,0.333,7.123,0.194,0.748
1.000,0.100,linear,102,flat,36,0.758,0.870,0.135,0.191,0.135,0.056,0.152,1.558,0.272,7.088,0.189,0.697
1.000,0.100,linear,102,flat,37,0.766,0.843,0.147,0.204,0.147,0.057,0.129,1.588,0.221,7.089,0.186,0.648
1.000,0.100,linear,102,flat,38,0.766,0.807,0.140,0.215,0.140,0.074,0.102,1.360,0.303,7.343,0.192,0.680
1.000,0.100,linear,102,flat,39,0.786,0.807,0.154,0.255,0.154,0.101,0.121,1.061,0.270,7.419,0.197,0.719
1.000,0.100,linear,102,flat,40,0.791,0.821,0.191,0.256,0.191,0.066,0.129,0.965,0.201,7.445,0.196,0.701
1.000,0.100,linear,102,flat,41,0.828,0.812,0.235,0.264,0.235,0.030,0.120,1.103,0.064,7.399,0.192,0.665
1.000,0.100,linear,102,flat,42,0.849,0.822,0.256,0.226,0.226,0.030,0.123,1.465,0.295,7.212,0.199,0.806
1.000,0.100,linear,102,flat,43,0.879,0.815,0.261,0.219,0.219,0.041,0.090,1.253,0.255,7.172,0.188,0.665
1.000,0.100,linear,102,flat,44,0.876,0.836,0.253,0.231,0.231,0.021,0.078,1.194,0.271,7.060,0.190,0.706
1.000,0.100,linear,102,flat,45,0.863,0.832,0.276,0.218,0.218,0.058,0.113,1.104,0.133,7.129,0.191,0.703
1.000,0.100,linear,102,flat,46,0.847,0.818,0.292,0.207,0.207,0.085,0.133,0.919,0.141,7.307,0.197,0.747
1.000,0.100,linear,102,flat,47,0.866,0.836,0.240,0.188,0.188,0.052,0.149,2.321,0.031,7.262,0.200,0.781
1.000,0.100,linear,102,flat,48,0.851,0.862,0.207,0.196,0.196,0.011,0.135,2.960,0.149,7.424,0.203,0.799
1.000,0.100,linear,102,flat,49,0.839,0.888,0.241,0.202,0.202,0.038,0.139,0.028,0.176,7.509,0.200,0.739
1.000,0.100,linear,102,flat,50,0.828,0.900,0.229,0.211,0.211,0.018,0.130,0.492,0.113,7.454,0.205,0.816
1.000,0.100,linear,102,flat,51,0.802,0.890,0.233,0.213,0.213,0.020,0.103,0.781,0.263,7.367,0.193,0.687
1.000,0.100,linear,102,flat,52,0.788,0.907,0.201,0.177,0.177,0.024,0.125,0.548,0.270,7.287,0.197,0.741
1.000,0.100,linear,102,flat,53,0.768,0.937,0.240,0.178,0.178,0.062,0.133,0.510,0.221,7.291,0.198,0.756
1.000,0.100,linear,102,flat,54,0.783,0.919,0.260,0.180,0.180,0.080,0.152,0.406,0.225,7.372,0.196,0.734
1.000,0.100,linear,102,flat,55,0.797,0.934,0.204,0.168,0.168,0.036,0.188,0.293,0.196,7.467,0.199,0.741
1.000,0.100,linear,102,flat,56,0.838,0.927,0.206,0.164,0.164,0.042,0.206,0.318,0.193,7.408,0.191,0.657
1.000,0.100,linear,102,flat,57,0.851,0.914,0.205,0.177,0.177,0.028,0.227,0.490,0.100,7.428,0.203,0.800
1.000,0.100,linear,102,flat,58,0.882,0.897,0.226,0.197,0.197,0.028,0.228,0.680,0.093,7.381,0.191,0.658
1.000,0.100,linear,102,flat,59,0.859,0.889,0.221,0.210,0.210,0.011,0.211,3.095,0.062,7.324,0.200,0.793
1.000,0.100,linear,102,flat,60,0.864,0.880,0.234,0.251,0.234,0.017,0.194,2.531,0.065,7.226,0.187,0.634
1.000,0.100,linear,102,flat,61,0.865,0.875,0.193,0.214,0.193,0.020,0.210,2.753,0.224,7.288,0.193,0.702
1.000,0.100,linear,102,flat,62,0.842,0.895,0.214,0.229,0.214,0.015,0.229,1.582,0.276,7.291,0.191,0.682
1.000,0.100,linear,102,flat,63,0.864,0.870,0.192,0.219,0.192,0.027,0.209,1.476,0.213,7.252,0.192,0.698
1.000,0.100,linear,102,flat,64,0.889,0.877,0.175,0.197,0.175,0.022,0.218,1.800,0.243,7.083,0.187,0.663
1.000,0.100,linear,102,flat,65,0.895,0.851,0.185,0.216,0.185,0.032,0.179,1.726,0.104,7.135,0.190,0.698
1.000,0.100,linear,102,flat,66,0.915,0.858,0.169,0.187,0.169,0.017,0.185,1.087,0.133,7.144,0.190,0.702
1.000,0.100,linear,102,flat,67,0.859,0.889,0.175,0.161,0.161,0.014,0.184,1.056,0.191,7.367,0.200,0.777
1.000,0.100,linear,102,flat,68,0.819,0.914,0.186,0.187,0.186,0.002,0.170,0.538,0.073,7.294,0.192,0.697
1.000,0.100,linear,102,flat,69,0.828,0.922,0.177,0.210,0.177,0.033,0.169,0.320,0.052,7.507,0.201,0.746
1.000,0.100,linear,102,flat,70,0.832,0.935,0.232,0.249,0.232,0.017,0.129,2.893,0.138,7.465,0.203,0.785
1.000,0.100,linear,102,flat,71,0.820,0.925,0.186,0.240,0.186,0.054,0.156,3.110,0.093,7.367,0.197,0.729
1.000,0.100,linear,102,flat,72,0.850,0.911,0.240,0.248,0.240,0.008,0.130,0.790,0.152,7.514,0.206,0.811
1.000,0.100,linear,102,flat,73,0.830,0.907,0.237,0.239,0.237,0.002,0.143,0.258,0.226,7.585,0.206,0.806
1.000,0.100,linear,102,flat,74,0.815,0.902,0.262,0.259,0.259,0.004,0.151,3.036,0.090,7.502,0.201,0.760
1.000,0.100,linear,102,flat,75,0.778,0.896,0.257,0.257,0.257,0.000,0.152,2.480,0.231,7.418,0.194,0.695
1.000,0.100,linear,102,flat,76,0.790,0.863,0.236,0.233,0.233,0.002,0.121,2.637,0.284,7.417,0.204,0.814
1.000,0.100,linear,102,flat,77,0.764,0.841,0.279,0.276,0.276,0.003,0.127,2.233,0.264,7.316,0.194,0.712
1.000,0.100,linear,102,flat,78,0.847,0.854,0.266,0.212,0.212,0.054,0.111,1.681,0.185,7.406,0.201,0.777
1.000,0.100,linear,102,flat,79,0.877,0.879,0.273,0.208,0.208,0.065,0.116,1.541,0.082,7.416,0.193,0.690
1.000,0.100,linear,102,flat,80,0.865,0.871,0.245,0.195,0.195,0.050,0.118,0.638,0.071,7.122,0.189,0.688
1.000,0.100,linear,102,flat,81,0.887,0.879,0.274,0.205,0.205,0.069,0.091,0.693,0.123,7.202,0.196,0.754
1.000,0.100,linear,102,flat,82,0.918,0.895,0.253,0.159,0.159,0.094,0.080,0.601,0.174,7.262,0.198,0.776
1.000,0.100,linear,102,flat,83,0.909,0.876,0.263,0.154,0.154,0.109,0.113,0.933,0.075,7.093,0.195,0.770
1.000,0.100,linear,102,flat,84,0.906,0.877,0.287,0.184,0.184,0.103,0.098,0.637,0.247,7.206,0.188,0.665
1.000,0.100,linear,102,flat,85,0.912,0.852,0.355,0.182,0.182,0.173,0.072,0.490,0.217,7.456,0.201,0.774
1.000,0.100,linear,102,flat,86,0.894,0.864,0.364,0.178,0.178,0.186,0.076,0.493,0.186,7.432,0.198,0.734
1.000,0.100,linear,102,flat,87,0.894,0.886,0.329,0.195,0.195,0.134,0.091,0.101,0.283,7.413,0.199,0.745
1.000,0.100,linear,102,flat,88,0.906,0.881,0.328,0.231,0.231,0.097,0.092,0.074,0.311,7.453,0.195,0.680
1.000,0.100,linear,102,flat,89,0.905,0.915,0.304,0.248,0.248,0.056,0.074,2.786,0.303,7.409,0.200,0.758
1.000,0.100,linear,102,flat,90,0.890,0.915,0.267,0.196,0.196,0.071,0.089,2.682,0.313,7.383,0.204,0.808
1.000,0.100,linear,102,flat,91,0.887,0.927,0.297,0.231,0.231,0.066,0.092,2.910,0.177,7.446,0.200,0.752
1.000,0.100,linear,102,flat,92,0.898,0.913,0.285,0.237,0.237,0.048,0.073,0.159,0.091,7.505,0.203,0.777
1.000,0.100,linear,102,flat,93,0.892,0.904,0.279,0.237,0.237,0.042,0.084,0.344,0.182,7.516,0.205,0.792
1.000,0.100,linear,102,flat,94,0.903,0.918,0.281,0.199,0.199,0.082,0.078,0.524,0.265,7.556,0.205,0.786
1.000,0.100,linear,102,flat,95,0.891,0.899,0.238,0.177,0.177,0.060,0.072,0.571,0.263,7.494,0.204,0.790
1.000,0.100,linear,102,flat,96,0.875,0.883,0.237,0.183,0.183,0.054,0.094,0.297,0.145,7.456,0.206,0.819
1.000,0.100,linear,102,flat,97,0.873,0.901,0.254,0.164,0.164,0.089,0.082,0.893,0.198,7.579,0.208,0.822
1.000,0.100,linear,102,flat,98,0.875,0.902,0.220,0.164,0.164,0.056,0.082,0.998,0.360,7.590,0.205,0.786
1.000,0.100,linear,102,flat,99,0.897,0.898,0.227,0.157,0.157,0.070,0.092,0.867,0.224,7.451,0.204,0.810
1.000,0.100,linear,102,flat,100,0.889,0.909,0.251,0.170,0.170,0.081,0.120,0.808,0.268,7.292,0.200,0.787
1.000,0.100,linear,102,flat,101,0.878,0.894,0.263,0.199,0.199,0.064,0.107,1.056,0.338,7.205,0.188,0.659
1.000,0.100,linear,102,flat,102,0.896,0.897,0.269,0.203,0.203,0.066,0.124,1.011,0.211,7.094,0.199,0.814
1.000,0.100,linear,102,flat,103,0.860,0.879,0.271,0.221,0.221,0.050,0.154,1.038,0.222,7.138,0.192,0.722
1.000,0.100,linear,102,flat,104,0.889,0.892,0.259,0.211,0.211,0.049,0.147,0.624,0.062,7.222,0.188,0.646
1.000,0.100,linear,102,flat,105,0.877,0.881,0.261,0.200,0.200,0.061,0.143,0.765,0.026,7.019,0.186,0.665
1.000,0.100,linear,102,flat,106,0.851,0.924,0.260,0.179,0.179,0.081,0.120,0.496,0.122,6.951,0.189,0.711
1.000,0.100,linear,102,flat,107,0.858,0.929,0.253,0.183,0.183,0.070,0.122,0.162,0.102,7.007,0.193,0.754
1.000,0.100,linear,102,flat,108,0.889,0.904,0.250,0.207,0.207,0.043,0.131,0.785,0.056,6.869,0.180,0.627
1.000,0.100,linear,102,flat,109,0.896,0.912,0.247,0.200,0.200,0.046,0.129,1.940,0.183,6.854,0.191,0.768
1.000,0.100,linear,102,flat,110,0.901,0.885,0.300,0.203,0.203,0.097,0.136,1.652,0.247,7.105,0.196,0.775
1.000,0.100,linear,102,flat,111,0.856,0.886,0.315,0.212,0.212,0.103,0.161,1.841,0.246,7.194,0.184,0.607
1.000,0.100,linear,102,flat,112,0.840,0.890,0.290,0.197,0.197,0.093,0.161,1.981,0.289,7.108,0.187,0.659
1.000,0.100,linear,102,flat,113,0.857,0.890,0.291,0.179,0.179,0.113,0.159,1.859,0.385,7.050,0.182,0.601
1.000,0.100,linear,102,flat,114,0.849,0.904,0.305,0.195,0.195,0.110,0.142,1.695,0.369,7.085,0.181,0.601
1.000,0.100,linear,102,flat,115,0.868,0.877,0.292,0.198,0.198,0.094,0.110,1.591,0.292,6.901,0.189,0.721
1.000,0.100,linear,102,flat,116,0.846,0.885,0.296,0.262,0.262,0.034,0.098,1.883,0.178,6.979,0.183,0.626
1.000,0.100,linear,102,flat,117,0.856,0.873,0.270,0.229,0.229,0.041,0.108,2.767,0.149,7.002,0.185,0.647
1.000,0.100,linear,102,flat,118,0.847,0.911,0.272,0.309,0.272,0.036,0.123,0.314,0.120,7.151,0.192,0.720
1.000,0.100,linear,102,flat,119,0.840,0.913,0.216,0.315,0.216,0.099,0.126,0.433,0.098,7.308,0.193,0.695
1.000,0.100,linear,102,flat,120,0.848,0.929,0.204,0.355,0.204,0.151,0.131,2.711,0.095,7.521,0.206,0.823
1.000,0.100,linear,103,flat,0,0.075,0.110,0.000,0.000,0.000,0.000,1.000,2.386,0.079,2.432,0.028,0.001
1.000,0.100,linear,103,flat,1,0.076,0.111,0.028,0.030,0.028,0.002,0.973,2.554,0.120,2.439,0.027,0.002
1.000,0.100,linear,103,flat,2,0.065,0.060,0.044,0.052,0.044,0.008,0.959,2.511,0.324,2.715,0.031,0.001
1.000,0.100,linear,103,flat,3,0.081,0.082,0.052,0.068,0.052,0.017,0.955,2.613,0.266,2.864,0.036,0.004
1.000,0.100,linear,103,flat,4,0.158,0.249,0.038,0.047,0.038,0.008,0.940,0.296,0.510,3.001,0.037,0.001
1.000,0.100,linear,103,flat,5,0.129,0.223,0.054,0.073,0.054,0.019,0.909,0.128,0.335,3.016,0.040,0.003
1.000,0.100,linear,103,flat,6,0.071,0.250,0.136,0.173,0.136,0.037,0.876,0.375,0.606,3.071,0.039,0.001
1.000,0.100,linear,103,flat,7,0.096,0.245,0.153,0.184,0.153,0.031,0.892,0.319,0.416,3.113,0.038,0.001
1.000,0.100,linear,103,flat,8,0.095,0.224,0.133,0.199,0.133,0.065,0.901,0.102,0.329,3.429,0.045,0.001
1.000,0.100,linear,103,flat,9,0.103,0.248,0.125,0.199,0.125,0.074,0.895,0.329,0.189,3.133,0.040,0.001
1.000,0.100,linear,103,flat,10,0.104,0.224,0.145,0.223,0.145,0.078,0.891,3.072,0.196,3.493,0.045,0.002
1.000,0.100,linear,103,flat,11,0.251,0.250,0.160,0.209,0.160,0.049,0.922,0.182,0.498,3.189,0.041,0.001
1.000,0.100,linear,103,flat,12,0.254,0.251,0.150,0.213,0.150,0.062,0.902,0.270,0.366,3.345,0.045,0.004
1.000,0.100,linear,103,flat,13,0.272,0.253,0.177,0.157,0.157,0.020,0.948,0.270,0.501,3.673,0.052,0.004
1.000,0.100,linear,103,flat,14,0.387,0.286,0.268,0.193,0.193,0.075,0.958,0.507,0.686,3.836,0.056,0.007
1.000,0.100,linear,103,flat,15,0.342,0.261,0.249,0.219,0.219,0.029,0.950,0.555,0.387,3.768,0.053,0.005
1.000,0.100,linear,103,flat,16,0.550,0.341,0.290,0.248,0.248,0.042,0.961,0.141,0.524,3.854,0.059,0.009
1.000,0.100,linear,103,flat,17,0.599,0.410,0.313,0.223,0.223,0.090,0.905,0.174,0.524,4.042,0.061,0.007
1.000,0.100,linear,103,flat,18,0.536,0.434,0.326,0.194,0.194,0.132,0.847,0.253,0.404,4.001,0.061,0.006
1.000,0.100,linear,103,flat,19,0.533,0.515,0.298,0.218,0.218,0.079,0.798,0.109,0.567,3.900,0.060,0.010
1.000,0.100,linear,103,flat,20,0.485,0.438,0.374,0.207,0.207,0.168,0.835,3.123,0.762,4.517,0.072,0.012
1.000,0.100,linear,103,flat,21,0.462,0.470,0.359,0.227,0.227,0.132,0.825,2.951,0.745,4.990,0.081,0.015
1.000,0.100,linear,103,flat,22,0.436,0.602,0.309,0.328,0.309,0.019,0.707,3.119,0.698,6.120,0.113,0.049
1.000,0.100,linear,103,flat,23,0.403,0.625,0.311,0.331,0.311,0.019,0.699,3.102,0.528,6.246,0.113,0.051
1.000,0.100,linear,103,flat,24,0.395,0.673,0.347,0.335,0.335,0.012,0.618,3.082,0.569,6.042,0.113,0.083
1.000,0.100,linear,103,flat,25,0.413,0.701,0.375,0.363,0.363,0.012,0.576,2.940,0.602,6.168,0.121,0.133
1.000,0.100,linear,103,flat,26,0.427,0.771,0.324,0.326,0.324,0.002,0.516,2.887,0.593,6.331,0.125,0.133
1.000,0.100,linear,103,flat,27,0.472,0.797,0.286,0.277,0.277,0.010,0.478,2.644,0.435,6.751,0.136,0.171
1.000,0.100,linear,103,flat,28,0.512,0.761,0.235,0.224,0.224,0.011,0.457,2.515,0.210,7.178,0.154,0.265
1.000,0.100,linear,103,flat,29,0.532,0.776,0.204,0.205,0.204,0.002,0.434,2.280,0.157,7.301,0.160,0.321
1.000,0.100,linear,103,flat,30,0.600,0.737,0.177,0.194,0.177,0.017,0.338,2.673,0.154,7.435,0.173,0.446
1.000,0.100,linear,103,flat,31,0.671,0.733,0.136,0.163,0.136,0.026,0.298,0.024,0.141,7.401,0.170,0.412
1.000,0.100,linear,103,flat,32,0.736,0.771,0.135,0.180,0.135,0.045,0.282,0.645,0.245,7.400,0.180,0.538
1.000,0.100,linear,103,flat,33,0.791,0.837,0.131,0.165,0.131,0.034,0.281,0.438,0.214,7.493,0.188,0.594
1.000,0.100,linear,103,flat,34,0.838,0.881,0.159,0.205,0.159,0.046,0.256,0.545,0.189,7.361,0.194,0.695
1.000,0.100,linear,103,flat,35,0.844,0.900,0.177,0.185,0.177,0.007,0.264,3.132,0.254,7.389,0.187,0.618
1.000,0.100,linear,103,flat,36,0.852,0.895,0.164,0.169,0.164,0.005,0.254,0.296,0.249,7.364,0.194,0.697
1.000,0.100,linear,103,flat,37,0.866,0.895,0.197,0.200,0.197,0.002,0.237,0.411,0.109,7.386,0.197,0.733
1.000,0.100,linear,103,flat,38,0.898,0.900,0.169,0.163,0.163,0.005,0.211,0.877,0.135,7.361,0.196,0.724
1.000,0.100,linear,103,flat,39,0.872,0.894,0.183,0.170,0.170,0.013,0.190,0.985,0.084,7.427,0.205,0.840
1.000,0.100,linear,103,flat,40,0.864,0.908,0.177,0.119,0.119,0.058,0.200,1.463,0.096,7.551,0.200,0.737
1.000,0.100,linear,103,flat,41,0.877,0.905,0.217,0.130,0.130,0.087,0.199,0.989,0.248,7.475,0.204,0.804
1.000,0.100,linear,103,flat,42,0.852,0.920,0.212,0.136,0.136,0.076,0.151,0.602,0.223,7.544,0.202,0.757
1.000,0.100,linear,103,flat,43,0.876,0.893,0.270,0.196,0.196,0.074,0.154,0.847,0.283,7.629,0.205,0.779
1.000,0.100,linear,103,flat,44,0.852,0.880,0.234,0.173,0.173,0.061,0.137,0.730,0.465,7.529,0.200,0.749
1.000,0.100,linear,103,flat,45,0.871,0.882,0.220,0.173,0.173,0.047,0.164,0.926,0.387,7.356,0.199,0.759
1.000,0.100,linear,103,flat,46,0.879,0.885,0.242,0.202,0.202,0.039,0.167,0.902,0.427,7.449,0.197,0.710
1.000,0.100,linear,103,flat,47,0.861,0.881,0.215,0.175,0.175,0.040,0.200,0.917,0.218,7.288,0.196,0.738
1.000,0.100,linear,103,flat,48,0.877,0.887,0.208,0.193,0.193,0.015,0.148,1.095,0.316,7.325,0.201,0.793
1.000,0.100,linear,103,flat,49,0.876,0.888,0.221,0.174,0.174,0.047,0.155,0.765,0.237,7.198,0.201,0.811
1.000,0.100,linear,103,flat,50,0.903,0.913,0.224,0.187,0.187,0.038,0.123,0.885,0.204,7.287,0.206,0.854
1.000,0.100,linear,103,flat,51,0.889,0.910,0.215,0.171,0.171,0.044,0.106,1.334,0.084,7.232,0.203,0.828
1.000,0.100,linear,103,flat,52,0.876,0.905,0.230,0.161,0.161,0.069,0.124,2.998,0.132,7.108,0.197,0.780
1.000,0.100,linear,103,flat,53,0.835,0.882,0.220,0.190,0.190,0.029,0.156,3.116,0.312,7.235,0.194,0.722
1.000,0.100,linear,103,flat,54,0.838,0.857,0.166,0.169,0.166,0.002,0.139,0.215,0.144,7.143,0.184,0.610
1.000,0.100,linear,103,flat,55,0.824,0.828,0.144,0.133,0.133,0.011,0.163,2.642,0.199,7.065,0.184,0.635
1.000,0.100,linear,103,flat,56,0.840,0.807,0.156,0.140,0.140,0.017,0.151,0.342,0.106,7.150,0.186,0.647
1.000,0.100,linear,103,flat,57,0.862,0.801,0.182,0.164,0.164,0.018,0.117,2.990,0.101,7.128,0.188,0.664
